sys,expt_value,calc_value,error
SiH3,213.1,213.7335996979964,0.6335996979964023
SiH4,304.4,302.4994850421208,-1.9005149578791816
PH2,143.9,148.55187433207175,4.651874332071742
PH3,225.0,227.70238758667256,2.7023875866725575
SH2,171.1,170.5878391195729,-0.5121608804271034
ClH,101.2,99.79098047077423,-1.4090195292257732
Na2,19.8,16.391558668023208,-3.4084413319767926
Si2,74.3,66.85790756117785,-7.442092438822144
P2,116.0,111.5305046949652,-4.469495305034798
S2,98.4,98.50021334469784,0.10021334469783483
Cl2,58.1,52.44266065233387,-5.657339347666131
NaCl,99.4,92.52258680143859,-6.877413198561413
SiO,190.2,183.29557208702317,-6.904427912976814
SC,171.3,162.31758562236791,-8.982414377632097
SO,120.1,119.91686174407369,-0.18313825592630906
ClO,60.9,60.67369145271368,-0.22630854728631533
ClF,60.9,55.681084245909005,-5.218915754090993
Si2H6,502.9,496.7501866063103,-6.149813393689669
CH3Cl,370.6,367.32818164792843,-3.271818352071591
CH3SH,442.8,439.9850702561671,-2.81492974383292
HOCl,156.1,151.09691421716707,-5.003085782832926
SO2,246.6,233.86511639814125,-12.73488360185874
LiH,56.5,56.316812297365686,-0.1831877026343136
BeH,45.1,54.870540827147124,9.770540827147123
CH,80.0,80.72008550520695,0.7200855052069528
CH2,177.2,180.29676889360417,3.096768893604178
CH3,287.4,290.0479360302561,2.647936030256119
CH4,391.0,391.5733994252623,0.5733994252623233
NH,77.2,82.42456743816729,5.224567438167284
NH2,168.4,174.19477979105432,5.79477979105431
NH3,274.2,277.4480454541481,3.248045454148098
OH,100.5,101.7998719710813,1.299871971081302
OH2,217.3,215.59756869584817,-1.702431304151844
FH,134.5,132.20335395875736,-2.2966460412426386
SiH2,146.9,145.26609897171147,-1.633901028288534
Li2,26.7,20.198654597686982,-6.501345402313017
LiF,141.3,135.52501900491188,-5.774980995088129
C2H2,387.0,383.62056013984693,-3.37943986015307
C2H4,530.1,528.9234384899537,-1.1765615100463265
H3CCH3,663.5,662.4737878853994,-1.0262121146006393
CN,176.3,174.35079297291668,-1.9492070270833324
HCN,303.1,300.20074041643966,-2.899259583560365
CO,257.6,250.51044940586144,-7.089550594138586
CHO,270.3,270.3343734311784,0.03437343117838054
H2CO,358.1,354.7357318857248,-3.3642681142752053
CH3OH,479.4,476.801270261014,-2.5987297389859805
N2,224.8,223.0690080854256,-1.7309919145744175
H2NNH2,401.4,407.2442015424167,5.844201542416727
NO,150.2,149.64349716569996,-0.5565028343000336
O2,115.4,119.38334890751867,3.9833489075186606
HOOH,250.3,248.0275722307124,-2.272427769287617
F2,37.5,34.10045674443245,-3.3995432555675507
CO2,384.3,376.9281651380443,-7.371834861955733
