sys,expt_value,calc_value,error
Na,118.5,125.13498143694596,6.634981436945964
Mg,176.3,178.01874203373154,1.7187420337315302
Al,138.0,138.82946717093,0.8294671709300019
Si,187.9,187.08705301806913,-0.8129469819308781
P,241.9,239.10371484974166,-2.796285150258342
S,238.9,242.1569759575068,3.2569759575067962
Cl,299.1,301.09388722950825,1.993887229508232
SiH4,253.7,265.3997027663572,11.699702766357234
PH,234.1,234.20760028850054,0.10760028850054937
PH2,226.5,228.44831593040726,1.9483159304072615
PH3,227.6,226.52276773951598,-1.0772322604840099
SH,239.1,240.2490419553942,1.1490419553942104
SH2,241.4,239.2855988056108,-2.1144011943892167
P2,242.8,237.52469400665723,-5.2753059933427835
S2,215.8,221.52086702897213,5.720867028972123
Cl2,265.2,263.84196443052497,-1.358035569475021
ClF,291.9,293.4825873018708,1.5825873018708307
Li,124.3,129.68620661775094,5.386206617750943
Be,214.9,210.09088992485522,-4.809110075144787
B,191.4,201.4518212651692,10.051821265169195
C,259.7,266.1714531577891,6.471453157789085
N,335.3,338.23947423107165,2.9394742310716424
O,313.9,325.83107757769176,11.93107757769178
F,401.7,409.4571802829305,7.757180282930506
CH4,291.0,287.82250764840865,-3.1774923515913542
NH3,234.8,234.77489787836384,-0.02510212163616643
OH,300.0,304.38911304796056,4.389113047960564
OH2,291.0,290.4034074311712,-0.5965925688287825
FH,369.9,371.2075703759765,1.3075703759765247
ClH,294.0,293.5792244198383,-0.4207755801617168
C2H2,262.9,259.39641466049943,-3.503585339500546
C2H4,242.4,238.06338574968686,-4.336614250313147
CO,323.1,328.1448265286308,5.044826528630779
N2,359.3,366.38387377045,7.083873770449998
O2,278.3,293.9959547293547,15.695954729354696
He,567.0,574.7966579680556,7.79665796805557
Ne,497.2,502.3633735731273,5.1633735731273305
Ar,363.4,365.2496789119323,1.8496789119323012
BF3,358.8,351.11760142765706,-7.682398572342947
BCl3,267.5,257.90743667725474,-9.592563322745264
B2F4,278.3,267.8703520259005,-10.42964797409951
CO2,317.6,317.65086380449065,0.05086380449063199
CF2,263.3,263.28971887307125,-0.010281126928759932
CH2,239.7,239.88314710151462,0.18314710151463487
CH3,227.0,229.38561784609556,2.385617846095556
C2H5,187.2,189.6994055666437,2.499405566643702
C3H4,223.0,217.07896330111544,-5.9210366988845635
CH2CCH2,223.5,226.40187107009115,2.901871070091147
CH3CHCH3,170.0,169.9693730029976,-0.030626997002400458
C6H6,213.2,209.088075688167,-4.111924311832979
CHO,187.7,196.87400762579637,9.174007625796378
H2COH,174.2,177.31043685042823,3.1104368504282434
CH3O,247.3,243.60976099925756,-3.6902390007424515
CH3OH,250.2,248.070410061453,-2.129589938546985
CH2S,216.2,214.36316395696485,-1.8368360430351345
CH2SH,173.8,176.7694627365563,2.969462736556295
CH3SH,217.7,215.25007721228758,-2.44992278771241
CH3Cl,258.7,256.9845024088863,-1.7154975911136603
C2H5OH,241.4,237.14478045153373,-4.255219548466272
CH3CHO,235.9,232.80677831151115,-3.0932216884888533
CH3OF,261.5,259.22731834228034,-2.2726816577196587
C2H4S,208.7,205.8205024448107,-2.879497555189289
NCCN,308.3,300.0177974475955,-8.282202552404499
C4H5N,189.3,186.52973708012723,-2.7702629198727777
B2H4,223.7,219.35506170308145,-4.344938296918542
NH,311.1,315.33088920740556,4.230889207405539
NH2,256.9,261.02973113561166,4.129731135611678
N2H2,221.1,220.56661227320728,-0.5333877267927107
N2H3,175.5,181.96247800730634,6.462478007306345
HOF,293.1,293.365005117681,0.2650051176809711
SiH2,211.0,208.63697825168492,-2.3630217483150773
SiH3,187.6,188.58365759512526,0.9836575951252655
Si2H2,189.1,187.10366187791806,-1.9963381220819372
Si2H4,186.6,181.78039230359718,-4.819607696402812
Si2H5,175.3,176.64494321675738,1.3449432167573718
Si2H6,224.6,219.1787312811357,-5.421268718864297
