sys,expt_value,calc_value,error
SiH3,213.1,210.81561495282222,-2.2843850471777785
SiH4,304.4,298.28190289076883,-6.118097109231144
PH2,143.9,147.72824130419758,3.828241304197576
PH3,225.0,226.11676616885234,1.1167661688523367
SH2,171.1,169.89724764061975,-1.2027523593802414
ClH,101.2,99.66192693443736,-1.5380730655626422
Na2,19.8,14.886642285360722,-4.913357714639279
Si2,74.3,72.23762531054672,-2.0623746894532786
P2,116.0,114.86234622838674,-1.1376537716132589
S2,98.4,100.95930074848002,2.5593007484800125
Cl2,58.1,52.51501206320245,-5.584987936797553
NaCl,99.4,90.12555380316917,-9.274446196830837
SiO,190.2,191.0247976137034,0.8247976137034243
SC,171.3,167.84491920424625,-3.4550807957537586
SO,120.1,128.000642861065,7.900642861064995
ClO,60.9,68.24368732364383,7.343687323643827
ClF,60.9,61.39039050514111,0.4903905051411144
Si2H6,502.9,487.02330584591255,-15.876694154087431
CH3Cl,370.6,366.15550375857856,-4.4444962414214615
CH3SH,442.8,438.28784582647495,-4.512154173525062
HOCl,156.1,156.70592991483863,0.6059299148386401
SO2,246.6,249.690877918154,3.090877918154007
LiH,56.5,56.32505328422576,-0.17494671577424015
BeH,45.1,54.90654350617842,9.806543506178421
CH,80.0,81.24690374061902,1.2469037406190182
CH2,177.2,180.01665115845026,2.81665115845027
CH3,287.4,289.54870539258263,2.148705392582656
CH4,391.0,390.73328027214666,-0.2667197278533422
NH,77.2,84.18214667889697,6.982146678896967
NH2,168.4,176.68412104970048,8.284121049700474
NH3,274.2,280.13830038614105,5.938300386141066
OH,100.5,103.94900600243272,3.449006002432725
OH2,217.3,219.07137739525206,1.7713773952520455
FH,134.5,135.1385283624113,0.6385283624113072
SiH2,146.9,144.00639476510696,-2.8936052348930446
Li2,26.7,19.538033756396544,-7.161966243603455
LiF,141.3,140.4371393472975,-0.8628606527025227
C2H2,387.0,388.52033327261597,1.5203332726159715
C2H4,530.1,530.5074412010581,0.40744120105807724
H3CCH3,663.5,660.605523985374,-2.8944760146259796
CN,176.3,186.2156538142517,9.915653814251698
HCN,303.1,308.8560249979855,5.756024997985492
CO,257.6,258.07633031872683,0.4763303187268093
CHO,270.3,278.59935154581035,8.299351545810339
H2CO,358.1,361.4552647475939,3.3552647475938784
CH3OH,479.4,479.92140481219394,0.5214048121939641
N2,224.8,233.9792165876279,9.179216587627877
H2NNH2,401.4,413.21577348490246,11.81577348490248
NO,150.2,160.3003028871899,10.100302887189912
O2,115.4,131.7723804681882,16.372380468188197
HOOH,250.3,258.30454502487555,8.00454502487554
F2,37.5,45.03047947274172,7.5304794727417175
CO2,384.3,390.97331854733056,6.6733185473305525
