sys,expt_value,calc_value,error
Na,118.5,124.84360958923935,6.34360958923935
Mg,176.3,177.21439623051265,0.9143962305126365
Al,138.0,137.26674645938328,-0.7332535406167153
Si,187.9,185.54549356823554,-2.354506431764463
P,241.9,237.41130233329022,-4.488697666709783
S,238.9,241.41734207450645,2.5173420745064448
Cl,299.1,300.2961686963099,1.1961686963098828
SiH4,253.7,262.10177476500394,8.40177476500395
PH,234.1,232.6605068400968,-1.4394931599032077
PH2,226.5,227.04974004262476,0.5497400426247623
PH3,227.6,226.0944741209969,-1.5055258790031019
SH,239.1,239.4075644352124,0.30756443521241295
SH2,241.4,238.38102375980816,-3.018976240191847
P2,242.8,236.08159959851764,-6.71840040148237
S2,215.8,217.6593457799172,1.8593457799171915
Cl2,265.2,259.31057973369025,-5.889420266309742
ClF,291.9,290.3308598930016,-1.5691401069983613
Li,124.3,128.81301954371338,4.5130195437133835
Be,214.9,208.70848154210034,-6.191518457899662
B,191.4,201.84902341149063,10.449023411490629
C,259.7,266.55260882437506,6.852608824375068
N,335.3,338.8160139311076,3.5160139311075795
O,313.9,329.4749746624875,15.574974662487534
F,401.7,413.0236198463099,11.323619846309896
CH4,291.0,285.7474083656234,-5.252591634376586
NH3,234.8,236.15505558920268,1.3550555892026637
OH,300.0,306.85428120807774,6.854281208077737
OH2,291.0,292.47381157712516,1.4738115771251614
FH,369.9,374.1980265834718,4.298026583471824
ClH,294.0,292.69624273560476,-1.3037572643952444
C2H2,262.9,259.9293588682194,-2.9706411317805532
C2H4,242.4,239.25865679486014,-3.1413432051398615
CO,323.1,325.8271608213108,2.727160821310804
N2,359.3,359.07185493351426,-0.2281450664857516
O2,278.3,290.0335895189055,11.73358951890549
He,567.0,576.2833786092117,9.283378609211695
Ne,497.2,506.3059488468425,9.105948846842523
Ar,363.4,364.2757889723289,0.8757889723289054
BF3,358.8,342.10594533226686,-16.694054667733155
BCl3,267.5,248.21432953048497,-19.285670469515026
B2F4,278.3,262.70860942447325,-15.59139057552676
CO2,317.6,316.09167284060095,-1.508327159399073
CF2,263.3,261.87648099061335,-1.4235190093866663
CH2,239.7,240.09580782178455,0.3958078217845582
CH3,227.0,229.9007704323958,2.9007704323958023
C2H5,187.2,188.77209636260523,1.5720963626052367
C3H4,223.0,215.73631545057287,-7.263684549427126
CH2CCH2,223.5,226.04328705412627,2.5432870541262673
CH3CHCH3,170.0,167.9080302350485,-2.0919697649515
C6H6,213.2,207.79017340549035,-5.409826594509639
CHO,187.7,196.18107072010753,8.481070720107539
H2COH,174.2,176.48313837047317,2.283138370473182
CH3O,247.3,241.32363512885058,-5.976364871149428
CH3OH,250.2,245.20826793831657,-4.991732061683422
CH2S,216.2,213.27738256938756,-2.9226174306124335
CH2SH,173.8,174.21911359939259,0.4191135993925741
CH3SH,217.7,213.15555790270446,-4.54444209729553
CH3Cl,258.7,258.7837959394092,0.0837959394091854
C2H5OH,241.4,232.61393208464142,-8.786067915358586
CH3CHO,235.9,231.01739372605516,-4.882606273944845
CH3OF,261.5,256.31753843597835,-5.182461564021651
C2H4S,208.7,204.29517065547407,-4.404829344525922
NCCN,308.3,297.40298882400384,-10.89701117599617
C4H5N,189.3,186.15089565209928,-3.1491043479007317
B2H4,223.7,218.84116576746965,-4.8588342325303415
NH,311.1,315.92793819101644,4.827938191016415
NH2,256.9,262.76065417817154,5.860654178171558
N2H2,221.1,218.9130116971064,-2.1869883028935817
N2H3,175.5,180.41221828169364,4.91221828169364
HOF,293.1,292.09613492646895,-1.003865073531074
SiH2,211.0,207.67370188215864,-3.326298117841361
SiH3,187.6,187.64661064834218,0.046610648342181094
Si2H2,189.1,186.3267505893018,-2.7732494106981846
Si2H4,186.6,181.4457516661496,-5.154248333850404
Si2H5,175.3,174.8970918431878,-0.4029081568122024
Si2H6,224.6,216.46125615137862,-8.138743848621374
