sys,expt_value,calc_value,error
Na,118.5,125.35398620250635,6.8539862025063485
Mg,176.3,177.79350833894568,1.4935083389456736
Al,138.0,137.97015021301922,-0.029849786980776116
Si,187.9,186.33989311440382,-1.5601068855961842
P,241.9,238.31570363859646,-3.5842963614035455
S,238.9,242.28218807053054,3.382188070530532
Cl,299.1,301.26196020829957,2.161960208299547
SiH4,253.7,263.22770056599984,9.52770056599985
PH,234.1,233.55258865634096,-0.5474113436590358
PH2,226.5,227.9226357958978,1.4226357958978042
PH3,227.6,226.8822936337965,-0.7177063662034868
SH,239.1,240.26867154875072,1.1686715487507229
SH2,241.4,239.2579384376004,-2.1420615623996184
P2,242.8,236.85240411834093,-5.947595881659083
S2,215.8,218.56141991255572,2.7614199125557093
Cl2,265.2,260.2550743863685,-4.944925613631483
ClF,291.9,291.3205785116297,-0.579421488370258
Li,124.3,129.28466290743836,4.984662907438363
Be,214.9,209.30520917892136,-5.594790821078647
B,191.4,202.7099674006222,11.309967400622185
C,259.7,267.5460988458872,7.846098845887184
N,335.3,339.98254604670365,4.682546046703635
O,313.9,330.491180342171,16.591180342171015
F,401.7,414.1988797674858,12.49887976748579
CH4,291.0,286.73881265187083,-4.2611873481291695
NH3,234.8,236.99116697980935,2.1911669798093385
OH,300.0,307.84917966382636,7.849179663826362
OH2,291.0,293.47563036563224,2.4756303656322416
FH,369.9,375.374295928581,5.474295928581
ClH,294.0,293.6783839825657,-0.32161601743428037
C2H2,262.9,260.77104716788745,-2.1289528321125317
C2H4,242.4,240.05231784911302,-2.347682150886982
CO,323.1,326.65275584835035,3.55275584835033
N2,359.3,360.2022001107398,0.9022001107397841
O2,278.3,291.2499448449962,12.949944844996196
He,567.0,577.3991953268207,10.399195326820745
Ne,497.2,507.69432131743815,10.494321317438164
Ar,363.4,365.37443213391816,1.9744321339181852
BF3,358.8,343.3272157117899,-15.472784288210107
BCl3,267.5,249.12781149183866,-18.372188508161344
B2F4,278.3,263.66275125043467,-14.637248749565344
CO2,317.6,317.11575202569657,-0.48424797430345734
CF2,263.3,262.6897711958154,-0.6102288041846009
CH2,239.7,241.02761588032809,1.3276158803280964
CH3,227.0,230.76652009615282,3.766520096152817
C2H5,187.2,189.57145560594654,2.371455605946551
C3H4,223.0,216.56649420253234,-6.43350579746766
CH2CCH2,223.5,226.85125441185664,3.351254411856644
CH3CHCH3,170.0,168.6713107873802,-1.3286892126197927
C6H6,213.2,208.5586444681685,-4.641355531831493
CHO,187.7,197.09084773690847,9.390847736908484
H2COH,174.2,177.31169756480085,3.1116975648008633
CH3O,247.3,242.2585904255393,-5.041409574460715
CH3OH,250.2,246.12473904043145,-4.0752609595685385
CH2S,216.2,214.08867830462987,-2.1113216953701226
CH2SH,173.8,175.04876177059487,1.2487617705948537
CH3SH,217.7,213.99252275261097,-3.707477247389022
CH3Cl,258.7,259.72370029828744,1.0237002982874515
C2H5OH,241.4,233.48255655427056,-7.917443445729447
CH3CHO,235.9,231.96050490261405,-3.939495097385958
CH3OF,261.5,257.25103423159453,-4.248965768405469
C2H4S,208.7,205.11054318927927,-3.589456810720719
NCCN,308.3,298.22946822804806,-10.070531771951948
C4H5N,189.3,186.93851779820397,-2.3614822017960364
B2H4,223.7,219.5761199471017,-4.123880052898301
NH,311.1,317.0326828083271,5.932682808327058
NH2,256.9,263.5895964448937,6.689596444893709
N2H2,221.1,219.78629066330905,-1.3137093366909482
N2H3,175.5,181.31359247547516,5.813592475475161
HOF,293.1,293.1380835810123,0.03808358101230169
SiH2,211.0,208.41327873643604,-2.586721263563959
SiH3,187.6,188.4236129053752,0.8236129053751995
Si2H2,189.1,186.97981416474795,-2.1201858352520446
Si2H4,186.6,182.090128240583,-4.5098717594169955
Si2H5,175.3,175.6484428048716,0.3484428048715813
Si2H6,224.6,217.24886913778028,-7.351130862219719
