sys,expt_value,calc_value,error
SiH3,213.1,209.3513505983865,-3.7486494016135055
SiH4,304.4,296.11166276340373,-8.288337236596249
PH2,143.9,145.9492832966498,2.0492832966498042
PH3,225.0,223.59247095373576,-1.4075290462642442
SH2,171.1,168.32486468114075,-2.775135318859242
ClH,101.2,98.96195713762427,-2.2380428623757354
Na2,19.8,16.644014107470866,-3.1559858925291344
Si2,74.3,74.45778380928095,0.15778380928095714
P2,116.0,115.47790033061756,-0.5220996693824418
S2,98.4,103.30247164022876,4.902471640228754
Cl2,58.1,55.74020439654123,-2.359795603458771
NaCl,99.4,92.82731232023798,-6.572687679762026
SiO,190.2,191.40373524604365,1.2037352460436637
SC,171.3,167.71418958914,-3.585810410860006
SO,120.1,128.6919394657598,8.591939465759793
ClO,60.9,69.11433024139842,8.214330241398422
ClF,60.9,63.003977318294346,2.1039773182943478
Si2H6,502.9,486.1797316580778,-16.72026834192218
CH3Cl,370.6,365.30796157120494,-5.292038428795081
CH3SH,442.8,436.42495548998704,-6.37504451001297
HOCl,156.1,157.0218488308601,0.9218488308601138
SO2,246.6,250.80601360986475,4.206013609864755
LiH,56.5,55.5250727106486,-0.9749272893513989
BeH,45.1,55.071234720704524,9.971234720704523
CH,80.0,80.3325041966018,0.3325041966018034
CH2,177.2,179.27684152814254,2.076841528142552
CH3,287.4,287.64598472614307,0.2459847261430923
CH4,391.0,387.9372334522741,-3.0627665477259143
NH,77.2,83.01219401745766,5.8121940174576565
NH2,168.4,174.4579364263409,6.057936426340888
NH3,274.2,277.04167614725156,2.841676147251576
OH,100.5,102.94868986587244,2.4486898658724385
OH2,217.3,217.2696516894648,-0.030348310535202927
FH,134.5,134.43179144276655,-0.06820855723344721
SiH2,146.9,142.60749025843688,-4.292509741563123
Li2,26.7,19.11191880255501,-7.588081197444989
LiF,141.3,140.68286193998938,-0.6171380600106318
C2H2,387.0,386.56679110368714,-0.43320889631286263
C2H4,530.1,527.5835795883977,-2.5164204116023257
H3CCH3,663.5,656.6099328135751,-6.890067186424858
CN,176.3,184.83642007273738,8.536420072737371
HCN,303.1,306.7329053051435,3.632905305143481
CO,257.6,257.33389095636085,-0.266109043639176
CHO,270.3,277.49140742310556,7.191407423105545
H2CO,358.1,359.7420934172551,1.6420934172550687
CH3OH,479.4,477.08696868216794,-2.313031317832042
N2,224.8,231.64646706548228,6.846467065482273
H2NNH2,401.4,408.73732959535846,7.337329595358483
NO,150.2,158.9257953024353,8.725795302435301
O2,115.4,131.27117526117945,15.871175261179445
HOOH,250.3,256.4711448344751,6.171144834475115
F2,37.5,45.57173488868284,8.07173488868284
CO2,384.3,390.74420301857754,6.444203018577525
