sys,expt_value,calc_value,error
Na,118.5,125.35730349649384,6.8573034964938415
Mg,176.3,177.0585196955799,0.7585196955798779
Al,138.0,138.02391904688557,0.023919046885566786
Si,187.9,186.45891432990902,-1.4410856700909846
P,241.9,238.5345917500963,-3.365408249903709
S,238.9,241.4492759532004,2.5492759532004072
Cl,299.1,300.6081063656602,1.5081063656601827
SiH4,253.7,262.71132123016287,9.011321230162878
PH,234.1,233.651210171025,-0.44878982897498076
PH2,226.5,227.87595795551897,1.3759579555189703
PH3,227.6,226.28639244224178,-1.3136075577582176
SH,239.1,239.56776841910323,0.46776841910323697
SH2,241.4,238.70976679341402,-2.6902332065859866
P2,242.8,236.30566772411112,-6.494332275888894
S2,215.8,218.4717636104906,2.6717636104905864
Cl2,265.2,259.91518636222463,-5.284813637775358
ClF,291.9,290.9721158379689,-0.9278841620310914
Li,124.3,129.43165250203947,5.131652502039472
Be,214.9,208.56963246171472,-6.330367538285287
B,191.4,202.76819162125685,11.368191621256841
C,259.7,267.72552289900705,8.025522899007058
N,335.3,340.355428763949,5.05542876394901
O,313.9,329.54865041785524,15.648650417855265
F,401.7,413.52981647824345,11.829816478243458
CH4,291.0,286.3544759109027,-4.645524089097307
NH3,234.8,236.3595933741235,1.5595933741234944
OH,300.0,307.096584506784,7.096584506783984
OH2,291.0,292.9123292532604,1.9123292532603955
FH,369.9,374.88619363806356,4.9861936380635825
ClH,294.0,293.1659946164582,-0.8340053835418075
C2H2,262.9,260.15071436981816,-2.7492856301818165
C2H4,242.4,239.38483032407385,-3.0151696759261597
CO,323.1,325.92487034379155,2.824870343791531
N2,359.3,359.8330339732929,0.5330339732929019
O2,278.3,291.27380236785393,12.97380236785392
He,567.0,576.8868623367744,9.886862336774357
Ne,497.2,507.30391829602013,10.10391829602014
Ar,363.4,364.90588323777774,1.5058832377777662
BF3,358.8,343.02684923796915,-15.773150762030866
BCl3,267.5,248.78561652521603,-18.714383474783972
B2F4,278.3,263.09635385498405,-15.203646145015966
CO2,317.6,316.63705906986434,-0.9629409301356873
CF2,263.3,262.1371983391,-1.1628016609000156
CH2,239.7,241.2242971965352,1.5242971965352012
CH3,227.0,230.70576448260908,3.7057644826090836
C2H5,187.2,189.58526194829028,2.3852619482902924
C3H4,223.0,216.12445988225227,-6.875540117747732
CH2CCH2,223.5,226.27367647609208,2.773676476092078
CH3CHCH3,170.0,168.62350322384737,-1.376496776152635
C6H6,213.2,208.01900530981948,-5.180994690180512
CHO,187.7,196.9960944500781,9.296094450078101
H2COH,174.2,177.231344305299,3.031344305299001
CH3O,247.3,241.85848715965403,-5.441512840345979
CH3OH,250.2,245.8395921881165,-4.360407811883476
CH2S,216.2,213.6026900165598,-2.597309983440198
CH2SH,173.8,174.94206899916753,1.1420689991675204
CH3SH,217.7,213.52687148965197,-4.173128510348022
CH3Cl,258.7,259.31834929133765,0.6183492913376654
C2H5OH,241.4,233.2030984916928,-8.196901508307207
CH3CHO,235.9,231.58040977761266,-4.3195902223873475
CH3OF,261.5,256.94010861605057,-4.559891383949434
C2H4S,208.7,204.51212233607657,-4.187877663923416
NCCN,308.3,297.7028149506077,-10.597185049392294
C4H5N,189.3,217.03380016074516,27.733800160745147
B2H4,223.7,218.91899026204555,-4.7810097379544345
NH,311.1,317.2105293916975,6.110529391697469
NH2,256.9,262.74062866300665,5.840628663006669
N2H2,221.1,219.4256205092388,-1.674379490761197
N2H3,175.5,181.1862962285959,5.686296228595893
HOF,293.1,292.84129937685793,-0.2587006231420901
SiH2,211.0,207.84991590792197,-3.150084092078032
SiH3,187.6,188.42281268161605,0.8228126816160568
Si2H2,189.1,186.40533084783237,-2.69466915216762
Si2H4,186.6,181.50176169903716,-5.098238300962834
Si2H5,175.3,175.5921649367083,0.29216493670827504
Si2H6,224.6,216.65010026691016,-7.949899733089836
