sys,expt_value,calc_value,error
SiH3,213.1,209.41308723506518,-3.6869127649348172
SiH4,304.4,296.21582789492095,-8.184172105079028
PH2,143.9,146.04041702189716,2.14041702189715
PH3,225.0,223.726869158505,-1.2731308414950036
SH2,171.1,168.41030688144383,-2.689693118556164
ClH,101.2,99.00090611394262,-2.1990938860573834
Na2,19.8,16.207496520597488,-3.592503479402513
Si2,74.3,73.92003939126153,-0.3799606087384717
P2,116.0,115.02809398598038,-0.9719060140196234
S2,98.4,102.70628375711385,4.306283757113846
Cl2,58.1,55.04212947690394,-3.0578705230960637
NaCl,99.4,92.28010136936791,-7.119898630632093
SiO,190.2,191.17421016053413,0.9742101605341418
SC,171.3,167.55577796971193,-3.7442220302880855
SO,120.1,128.42087525542593,8.320875255425932
ClO,60.9,68.81290805019671,7.912908050196712
ClF,60.9,62.61201217205962,1.712012172059623
Si2H6,502.9,485.8196462740307,-17.080353725969303
CH3Cl,370.6,365.1683767856448,-5.431623214355227
CH3SH,442.8,436.358204609307,-6.4417953906930165
HOCl,156.1,156.75059226702433,0.6505922670243365
SO2,246.6,250.3183854474919,3.7183854474918974
LiH,56.5,55.579654487209154,-0.9203455127908455
BeH,45.1,55.061479365793275,9.961479365793274
CH,80.0,80.39651397857597,0.3965139785759675
CH2,177.2,179.33597928270683,2.135979282706842
CH3,287.4,287.7937061963203,0.393706196320295
CH4,391.0,388.15537054181914,-2.8446294581808615
NH,77.2,83.09250588999566,5.892505889995661
NH2,168.4,174.6182657244426,6.2182657244426025
NH3,274.2,277.2722286553617,3.072228655361698
OH,100.5,103.02287272021931,2.5228727202193113
OH2,217.3,217.41021090313734,0.11021090313732884
FH,134.5,134.49120584582852,-0.00879415417148266
SiH2,146.9,142.67471497235238,-4.2252850276476295
Li2,26.7,19.088347096634607,-7.611652903365393
LiF,141.3,140.61817052973493,-0.681829470265086
C2H2,387.0,386.65358042615844,-0.3464195738415583
C2H4,530.1,527.7403617306409,-2.359638269359152
H3CCH3,663.5,656.8410186873225,-6.658981312677497
CN,176.3,184.86084344454866,8.560843444548652
HCN,303.1,306.81336998534243,3.7133699853424105
CO,257.6,257.3082091191318,-0.2917908808682341
CHO,270.3,277.4867763794173,7.186776379417267
H2CO,358.1,359.7826858948247,1.6826858948246581
CH3OH,479.4,477.2022021628218,-2.1977978371782
N2,224.8,231.72297869450995,6.922978694509936
H2NNH2,401.4,408.9607058473921,7.560705847392114
NO,150.2,158.92127310167416,8.721273101674171
O2,115.4,131.17955191158399,15.77955191158398
HOOH,250.3,256.46996106575534,6.169961065755331
F2,37.5,45.35320596743259,7.8532059674325865
CO2,384.3,390.5472099500621,6.247209950062086
