sys,expt_value,calc_value,error
Na,118.5,125.31775225221645,6.817752252216451
Mg,176.3,177.07261431029474,0.7726143102947276
Al,138.0,137.9749983670772,-0.02500163292279467
Si,187.9,186.40742458691238,-1.4925754130876214
P,241.9,238.47569707766525,-3.4243029223347605
S,238.9,241.46001415344654,2.560014153446531
Cl,299.1,300.608260919631,1.5082609196309704
SiH4,253.7,262.7142518731125,9.014251873112528
PH,234.1,233.60190819529817,-0.49809180470182923
PH2,226.5,227.83823162611225,1.3382316261122469
PH3,227.6,226.295031670772,-1.3049683292279894
SH,239.1,239.5767794456333,0.4767794456332979
SH2,241.4,238.7109502866224,-2.6890497133776137
P2,242.8,236.3214603989618,-6.4785396010382215
S2,215.8,218.43973612907575,2.639736129075743
Cl2,265.2,259.90047483239323,-5.29952516760676
ClF,291.9,290.9554904754041,-0.944509524595901
Li,124.3,129.39369241776058,5.093692417760579
Be,214.9,208.59261051026988,-6.307389489730127
B,191.4,202.73431513950527,11.334315139505264
C,259.7,267.6819869429273,7.981986942927335
N,335.3,340.2939435997323,4.99394359973229
O,313.9,329.58403825564164,15.684038255641667
F,401.7,413.5416660290357,11.841666029035707
CH4,291.0,286.3577316581359,-4.64226834186411
NH3,234.8,236.38410312800988,1.5841031280098719
OH,300.0,307.1239233598317,7.123923359831679
OH2,291.0,292.9273844250856,1.92738442508562
FH,369.9,374.890521865098,4.990521865098003
ClH,294.0,293.16008093149867,-0.8399190685013309
C2H2,262.9,260.1800436328922,-2.719956367107784
C2H4,242.4,239.42121554210462,-2.9787844578953866
CO,323.1,325.95193324799766,2.8519332479976356
N2,359.3,359.8323257740267,0.532325774026674
O2,278.3,291.23273194507055,12.932731945070543
He,567.0,576.917817005799,9.917817005798952
Ne,497.2,507.29351406285423,10.09351406285424
Ar,363.4,364.89211071660975,1.4921107166097727
BF3,358.8,343.0158248291409,-15.7841751708591
BCl3,267.5,248.77978822321165,-18.720211776788346
B2F4,278.3,263.1185243210057,-15.181475678994332
CO2,317.6,316.64765461551724,-0.9523453844827827
CF2,263.3,262.15439421043266,-1.1456057895673553
CH2,239.7,241.18243987874666,1.4824398787466748
CH3,227.0,230.68626779622718,3.6862677962271846
C2H5,187.2,189.55868251317588,2.358682513175893
C3H4,223.0,216.13605204573832,-6.8639479542616755
CH2CCH2,223.5,226.29907318412734,2.7990731841273373
CH3CHCH3,170.0,168.60319765536406,-1.3968023446359439
C6H6,213.2,208.04390331174363,-5.156096688256355
CHO,187.7,196.97091302638,9.270913026380015
H2COH,174.2,177.2080497473653,3.0080497473653054
CH3O,247.3,241.85947263115668,-5.440527368843334
CH3OH,250.2,245.83136277117592,-4.3686372288240705
CH2S,216.2,213.60686343425186,-2.593136565748125
CH2SH,173.8,174.9125382769853,1.1125382769852763
CH3SH,217.7,213.53161190275569,-4.1683880972443035
CH3Cl,258.7,259.31513915542746,0.615139155427471
C2H5OH,241.4,233.19778457102075,-8.202215428979258
CH3CHO,235.9,231.58445046645647,-4.315549533543532
CH3OF,261.5,256.93345826581935,-4.566541734180646
C2H4S,208.7,204.52756525267614,-4.172434747323848
NCCN,308.3,297.7217265783256,-10.578273421674396
C4H5N,189.3,217.05576009006472,27.75576009006471
B2H4,223.7,218.95340146734452,-4.746598532655469
NH,311.1,317.1647799150087,6.064779915008671
NH2,256.9,262.78067182382074,5.880671823820762
N2H2,221.1,219.42420295609918,-1.6757970439008147
N2H3,175.5,181.165955223114,5.665955223113997
HOF,293.1,292.824985317915,-0.2750146820850432
SiH2,211.0,207.85402702516876,-3.1459729748312384
SiH3,187.6,188.38548845800688,0.7854884580068813
Si2H2,189.1,186.42532903148094,-2.6746709685190524
Si2H4,186.6,181.5333244499634,-5.066675550036592
Si2H5,175.3,175.57007778115803,0.2700777811580224
Si2H6,224.6,216.67985055432655,-7.920149445673445
