sys,expt_value,calc_value,error
SiH3,213.1,210.05457440231112,-3.045425597688876
SiH4,304.4,297.45947393393726,-6.940526066062716
PH2,143.9,147.50411947761313,3.604119477613125
PH3,225.0,225.71303189828177,0.7130318982817698
SH2,171.1,169.341433144873,-1.7585668551269862
ClH,101.2,99.21096745197428,-1.989032548025719
Na2,19.8,17.4282242844929,-2.371775715507102
Si2,74.3,70.96220614231424,-3.337793857685753
P2,116.0,118.03349757293472,2.0334975729347207
S2,98.4,103.59761882841121,5.197618828411208
Cl2,58.1,55.342881812830456,-2.757118187169546
NaCl,99.4,91.62714872515062,-7.772851274849387
SiO,190.2,191.31267319980543,1.1126731998054424
SC,171.3,168.4162435856415,-2.8837564143585155
SO,120.1,128.70687431271654,8.606874312716542
ClO,60.9,69.44917098525912,8.549170985259117
ClF,60.9,62.75761332846014,1.8576133284601397
Si2H6,502.9,488.88574887183495,-14.014251128165029
CH3Cl,370.6,365.63851063128095,-4.9614893687190715
CH3SH,442.8,437.6262648057891,-5.173735194210906
HOCl,156.1,157.51401588879526,1.4140158887952623
SO2,246.6,250.8563189629349,4.256318962934898
LiH,56.5,55.89916532708503,-0.6008346729149707
BeH,45.1,53.94056716004707,8.840567160047065
CH,80.0,80.81153585092761,0.811535850927612
CH2,177.2,178.33313420048944,1.133134200489451
CH3,287.4,287.46924430568106,0.06924430568108164
CH4,391.0,388.09294947067974,-2.9070505293202586
NH,77.2,83.84299131669832,6.642991316698314
NH2,168.4,175.82120784320432,7.421207843204314
NH3,274.2,278.5641368574361,4.364136857436108
OH,100.5,103.30593451120512,2.8059345112051233
OH2,217.3,217.54045881244383,0.24045881244381917
FH,134.5,134.0428142154633,-0.4571857845367049
SiH2,146.9,143.57610662770458,-3.32389337229543
Li2,26.7,20.049273634962447,-6.650726365037553
LiF,141.3,138.96094320967677,-2.339056790323241
C2H2,387.0,386.5646463178855,-0.43535368211450987
C2H4,530.1,527.7812415311637,-2.318758468836336
H3CCH3,663.5,657.6971172206395,-5.802882779360516
CN,176.3,185.9768588954903,9.676858895490284
HCN,303.1,308.08823788977315,4.988237889773131
CO,257.6,257.3951816228946,-0.2048183771054255
CHO,270.3,277.55374502127233,7.253745021272323
H2CO,358.1,359.8748407068051,1.7748407068050938
CH3OH,479.4,478.06428878409497,-1.3357112159050075
N2,224.8,234.49329833754746,9.693298337547446
H2NNH2,401.4,412.24022081862495,10.840220818624971
NO,150.2,160.55593599617714,10.355935996177152
O2,115.4,132.27963853022084,16.87963853022083
HOOH,250.3,258.13802586148086,7.838025861480844
F2,37.5,46.162412706937175,8.662412706937175
CO2,384.3,389.8870450499671,5.5870450499671165
