sys,expt_value,calc_value,error
Na,118.5,123.59120480252022,5.091204802520224
Mg,176.3,175.7926099687611,-0.5073900312389128
Al,138.0,135.3116605998366,-2.688339400163386
Si,187.9,183.13209205429303,-4.76790794570698
P,241.9,234.50822620408144,-7.391773795918567
S,238.9,239.032043407351,0.13204340735100573
Cl,299.1,297.3831111561158,-1.7168888438842487
SiH4,253.7,258.858151651395,5.1581516513950305
PH,234.1,229.80586924374802,-4.294130756251974
PH2,226.5,224.27012967056362,-2.2298703294363804
PH3,227.6,223.50233232960454,-4.097667670395452
SH,239.1,236.83769139749347,-2.262308602506522
SH2,241.4,235.61498215049505,-5.785017849504953
P2,242.8,233.40468138694996,-9.395318613050051
S2,215.8,214.715303853387,-1.0846961466129983
Cl2,265.2,256.24536187620834,-8.954638123791653
ClF,291.9,287.1200308164698,-4.77996918353017
Li,124.3,127.41082484994058,3.1108248499405846
Be,214.9,206.99495931021374,-7.9050406897862615
B,191.4,198.838439540119,7.438439540118992
C,259.7,262.96560799883446,3.2656079988344686
N,335.3,334.54935086143087,-0.7506491385691447
O,313.9,326.0538899856474,12.153889985647425
F,401.7,408.8578116566641,7.157811656664137
CH4,291.0,282.0389702548018,-8.961029745198175
NH3,234.8,233.12375582136883,-1.6762441786311797
OH,300.0,303.33179678847955,3.3317967884795507
OH2,291.0,288.86176197763416,-2.13823802236584
FH,369.9,369.95864264488046,0.058642644880478656
ClH,294.0,289.5826934876968,-4.417306512303185
C2H2,262.9,256.75071195393684,-6.149288046063134
C2H4,242.4,236.21049937543285,-6.1895006245671595
CO,323.1,323.0007525950932,-0.09924740490680506
N2,359.3,354.9277502980549,-4.3722497019451225
O2,278.3,285.7080622181966,7.408062218196562
He,567.0,571.6910524123875,4.691052412387535
Ne,497.2,501.3002606975497,4.100260697549686
Ar,363.4,360.76573715294944,-2.634262847050536
BF3,358.8,337.68340502111823,-21.11659497888178
BCl3,267.5,245.14817305724137,-22.351826942758635
B2F4,278.3,258.60863974125823,-19.69136025874178
CO2,317.6,312.3514655016479,-5.2485344983521145
CF2,263.3,259.00611064839177,-4.293889351608243
CH2,239.7,236.6784552177669,-3.021544782233093
CH3,227.0,226.73165664973203,-0.26834335026796907
C2H5,187.2,185.96781921401998,-1.232180785980006
C3H4,223.0,212.7307989715191,-10.269201028480893
CH2CCH2,223.5,223.04561621687026,-0.45438378312974237
CH3CHCH3,170.0,164.7515456172987,-5.248454382701311
C6H6,213.2,204.88917750268592,-8.310822497314064
CHO,187.7,192.92852511619276,5.22852511619277
H2COH,174.2,173.7131246815843,-0.48687531841568443
CH3O,247.3,238.13435806462076,-9.165641935379256
CH3OH,250.2,242.08084585158213,-8.119154148417863
CH2S,216.2,210.6405903257546,-5.559409674245387
CH2SH,173.8,171.57683436467778,-2.223165635322232
CH3SH,217.7,210.39205653464887,-7.307943465351116
CH3Cl,258.7,255.6488933680812,-3.051106631918799
C2H5OH,241.4,229.50829134741798,-11.891708652582025
CH3CHO,235.9,227.9022352435568,-7.9977647564432175
CH3OF,261.5,252.9962545100425,-8.50374548995751
C2H4S,208.7,201.46125191735337,-7.238748082646623
NCCN,308.3,294.4146902680077,-13.885309731992322
C4H5N,189.3,183.22101246606326,-6.078987533936754
B2H4,223.7,215.9773090752169,-7.72269092478308
NH,311.1,311.90305788059777,0.8030578805977484
NH2,256.9,259.8188146748507,2.9188146748507506
N2H2,221.1,215.86507166539377,-5.234928334606224
N2H3,175.5,177.33263026044006,1.8326302604400553
HOF,293.1,288.579704643882,-4.520295356118027
SiH2,211.0,205.4346507898299,-5.565349210170098
SiH3,187.6,185.17364098748658,-2.426359012513416
Si2H2,189.1,184.14026858081343,-4.959731419186568
Si2H4,186.6,179.44377969473135,-7.156220305268647
Si2H5,175.3,172.34095128817717,-2.9590487118228452
Si2H6,224.6,213.22809251997387,-11.371907480026124
