sys,expt_value,calc_value,error
SiH3,213.1,216.15751080968766,3.0575108096876704
SiH4,304.4,305.5548112949473,1.154811294947308
PH2,143.9,153.03365253907396,9.13365253907395
PH3,225.0,237.18385169302928,12.183851693029283
SH2,171.1,183.08040959195932,11.98040959195933
ClH,101.2,108.35189549741335,7.151895497413349
Na2,19.8,-14.643600965326186,-34.44360096532618
Si2,74.3,43.93548880034359,-30.364511199656405
P2,116.0,91.72975101787597,-24.27024898212403
S2,98.4,77.94320708408486,-20.456792915915145
Cl2,58.1,23.083930189255625,-35.016069810744376
NaCl,99.4,57.50703048700234,-41.89296951299767
SiO,190.2,187.32094157623942,-2.8790584237605685
SC,171.3,172.18814467993798,0.888144679937966
SO,120.1,128.0457778441487,7.945777844148694
ClO,60.9,66.21958592324518,5.319585923245178
ClF,60.9,53.2896346708294,-7.610365329170598
Si2H6,502.9,474.47623531724093,-28.423764682759042
CH3Cl,370.6,377.785842056619,7.185842056618981
CH3SH,442.8,457.2249097615131,14.424909761513106
HOCl,156.1,160.31096208485542,4.210962084855424
SO2,246.6,255.63391921442235,9.033919214422355
LiH,56.5,54.92968020505941,-1.5703197949405876
BeH,45.1,52.37918978934431,7.279189789344308
CH,80.0,83.12610364119246,3.126103641192458
CH2,177.2,189.81645139452667,12.616451394526678
CH3,287.4,304.6432154807262,17.243215480726235
CH4,391.0,414.08388818362437,23.083888183624367
NH,77.2,85.22957347102056,8.029573471020555
NH2,168.4,184.96564632431546,16.565646324315452
NH3,274.2,299.614159499979,25.414159499979007
OH,100.5,112.04755147630203,11.547551476302033
OH2,217.3,239.19844161954097,21.89844161954096
FH,134.5,147.5792492251785,13.0792492251785
SiH2,146.9,147.07174495162326,0.17174495162325343
Li2,26.7,16.361440646258416,-10.338559353741584
LiF,141.3,138.22144372588082,-3.078556274119194
C2H2,387.0,413.5622760168044,26.56227601680439
C2H4,530.1,562.3048198769611,32.204819876961096
H3CCH3,663.5,701.5496891625953,38.049689162595314
CN,176.3,196.90306033007073,20.60306033007072
HCN,303.1,325.6695780705777,22.569578070577677
CO,257.6,274.07692772045266,16.476927720452636
CHO,270.3,298.146249678146,27.846249678145966
H2CO,358.1,385.2419907323638,27.14199073236375
CH3OH,479.4,513.2247102855035,33.824710285503556
N2,224.8,244.28310361610784,19.483103616107826
H2NNH2,401.4,444.0168843046267,42.61688430462675
NO,150.2,173.8761837350903,23.67618373509032
O2,115.4,149.43995694552723,34.03995694552722
HOOH,250.3,285.1938571212813,34.893857121281314
F2,37.5,50.88357754552271,13.383577545522712
CO2,384.3,415.80394406145206,31.503944061452046
