sys,expt_value,calc_value,error
Na,118.5,117.50862047537521,-0.9913795246247901
Mg,176.3,170.7189798150648,-5.581020184935198
Al,138.0,130.38482271236717,-7.615177287632832
Si,187.9,179.94556903486955,-7.954430965130456
P,241.9,232.21215439290972,-9.687845607090281
S,238.9,231.68260384190944,-7.2173961580905655
Cl,299.1,292.0167245956254,-7.083275404374604
SiH4,253.7,252.47137119204854,-1.228628807951452
PH,234.1,226.07020094207837,-8.029799057921622
PH2,226.5,219.2798400055908,-7.220159994409187
PH3,227.6,219.87530134513509,-7.724698654864909
SH,239.1,231.9313244901423,-7.168675509857707
SH2,241.4,232.05756657783058,-9.342433422169421
P2,242.8,234.37046723009553,-8.429532769904483
S2,215.8,208.36008968343958,-7.439910316560429
Cl2,265.2,249.87547961832024,-15.324520381679747
ClF,291.9,279.1256756251678,-12.77432437483219
Li,124.3,120.72871150674928,-3.5712884932507194
Be,214.9,201.0461076461961,-13.8538923538039
B,191.4,189.40204853506475,-1.9979514649352552
C,259.7,257.7953892337391,-1.9046107662608733
N,335.3,332.068864812798,-3.231135187202028
O,313.9,311.2046701776417,-2.6953298223583033
F,401.7,400.8879336354439,-0.812066364556074
CH4,291.0,272.63171146495006,-18.368288535049942
NH3,234.8,230.76725027684006,-4.032749723159952
OH,300.0,296.13559567886114,-3.8644043211388635
OH2,291.0,285.82977609675436,-5.170223903245642
FH,369.9,366.0693966962572,-3.830603303742805
ClH,294.0,285.393301353266,-8.606698646734003
C2H2,262.9,257.2996189707701,-5.6003810292298795
C2H4,242.4,238.2001576181865,-4.199842381813511
CO,323.1,316.82065235268965,-6.279347647310374
N2,359.3,348.1628465546528,-11.137153445347224
O2,278.3,274.68341021207743,-3.616589787922578
He,567.0,549.1866502706046,-17.81334972939544
Ne,497.2,496.56005701512913,-0.6399429848708564
Ar,363.4,355.8936083742883,-7.506391625711672
BF3,358.8,331.5974991618132,-27.202500838186836
BCl3,267.5,240.74997217743658,-26.750027822563425
B2F4,278.3,254.30754915002035,-23.99245084997966
CO2,317.6,310.6821696924744,-6.917830307525605
CF2,263.3,251.31047468149336,-11.98952531850665
CH2,239.7,234.14120065569296,-5.558799344307033
CH3,227.0,222.9689336221054,-4.031066377894604
C2H5,187.2,174.91031549816398,-12.289684501836007
C3H4,223.0,208.94946587343293,-14.050534126567072
CH2CCH2,223.5,222.1449216119363,-1.3550783880637027
CH3CHCH3,170.0,155.44712086195068,-14.55287913804932
C6H6,213.2,205.6692796170537,-7.530720382946299
CHO,187.7,183.5566294103919,-4.143370589608082
H2COH,174.2,165.65005093827494,-8.549949061725044
CH3O,247.3,222.97887194559735,-24.321128054402664
CH3OH,250.2,230.3276203993155,-19.872379600684496
CH2S,216.2,206.38363490696065,-9.816365093039337
CH2SH,173.8,164.33042453497183,-9.469575465028186
CH3SH,217.7,205.77259238861734,-11.927407611382648
CH3Cl,258.7,249.9779447526671,-8.72205524733289
C2H5OH,241.4,217.69888962722325,-23.701110372776753
CH3CHO,235.9,222.95330650637334,-12.946693493626668
CH3OF,261.5,242.81958831325755,-18.680411686742445
C2H4S,208.7,199.1271344110719,-9.572865588928096
NCCN,308.3,295.1145060285053,-13.185493971494736
C4H5N,189.3,184.09729783178773,-5.202702168212284
B2H4,223.7,215.57365747941367,-8.12634252058632
NH,311.1,307.745452028641,-3.354547971359011
NH2,256.9,252.6111726029776,-4.288827397022374
N2H2,221.1,207.47966913250275,-13.620330867497245
N2H3,175.5,168.3044852518069,-7.195514748193091
HOF,293.1,277.003424900322,-16.096575099678034
SiH2,211.0,201.12670582634746,-9.873294173652539
SiH3,187.6,180.8842724195274,-6.715727580472588
Si2H2,189.1,184.651584770123,-4.448415229876986
Si2H4,186.6,179.61236321448814,-6.987636785511853
Si2H5,175.3,169.2452379213064,-6.054762078693614
Si2H6,224.6,213.66593371966155,-10.934066280338442
