sys,expt_value,calc_value,error
SiH3,213.1,203.7604699425865,-9.339530057413498
SiH4,304.4,288.21281625697156,-16.187183743028413
PH2,143.9,148.2295692646003,4.329569264600281
PH3,225.0,227.54875501259812,2.5487550125981215
SH2,171.1,172.80787475188845,1.707874751888454
ClH,101.2,101.0125474766246,-0.18745252337539853
Na2,19.8,20.1545109457511,0.3545109457510982
Si2,74.3,79.21362558432156,4.913625584321565
P2,116.0,132.86171015241416,16.86171015241416
S2,98.4,114.9234942389885,16.52349423898849
Cl2,58.1,64.81945901317522,6.719459013175218
NaCl,99.4,85.08084757381584,-14.31915242618416
SiO,190.2,192.69841772544896,2.4984177254489737
SC,171.3,176.88467046822188,5.584670468221873
SO,120.1,136.68307640322018,16.58307640322019
ClO,60.9,82.74221190536628,21.842211905366277
ClF,60.9,72.37924733682303,11.479247336823029
Si2H6,502.9,478.7254007618758,-24.174599238124188
CH3Cl,370.6,361.78577545279404,-8.814224547205981
CH3SH,442.8,436.04155035316944,-6.75844964683057
HOCl,156.1,167.84687268012203,11.746872680122038
SO2,246.6,266.3670612889109,19.767061288910924
LiH,56.5,51.9509464946741,-4.549053505325901
BeH,45.1,43.83071345162716,-1.2692865483728397
CH,80.0,78.87950668863778,-1.1204933113622246
CH2,177.2,168.95165297597123,-8.24834702402876
CH3,287.4,276.5858947428642,-10.814105257135793
CH4,391.0,377.41662512909534,-13.583374870904663
NH,77.2,80.53364188788692,3.3336418878869125
NH2,168.4,172.1212431130989,3.721243113098893
NH3,274.2,275.9156463282343,1.7156463282342997
OH,100.5,104.66064410455874,4.160644104558742
OH2,217.3,216.88719382361887,-0.4128061763811388
FH,134.5,132.70046889915102,-1.7995311008489807
SiH2,146.9,141.01048883900512,-5.889511160994886
Li2,26.7,22.275246723922464,-4.424753276077535
LiF,141.3,125.44882183153823,-15.851178168461786
C2H2,387.0,382.24409430712694,-4.755905692873057
C2H4,530.1,516.3730773694479,-13.726922630552167
H3CCH3,663.5,642.5641024647193,-20.935897535280674
CN,176.3,189.6247893781765,13.32478937817649
HCN,303.1,310.34181671694387,7.241816716943845
CO,257.6,261.7375040928455,4.137504092845461
CHO,270.3,279.5400721888582,9.240072188858164
H2CO,358.1,358.015500742782,-0.084499257217999
CH3OH,479.4,472.25702660706884,-7.14297339293114
N2,224.8,244.26673276313522,19.466732763135212
H2NNH2,401.4,415.5452821730578,14.145282173057808
NO,150.2,173.44950504762528,23.24950504762529
O2,115.4,149.69013097109564,34.290130971095635
HOOH,250.3,270.67232841276564,20.372328412765626
F2,37.5,62.35498502313567,24.85498502313567
CO2,384.3,395.8983416252013,11.598341625201272
