sys,expt_value,calc_value,error
SiH3,213.1,207.68714416987495,-5.412855830125039
SiH4,304.4,293.6830539703369,-10.716946029663063
PH2,143.9,150.04023213044275,6.14023213044274
PH3,225.0,230.86462236082298,5.8646223608229775
SH2,171.1,176.03354149698862,4.933541496988624
ClH,101.2,103.20248221553629,2.00248221553629
Na2,19.8,12.50239470458473,-7.29760529541527
Si2,74.3,72.352480267582,-1.9475197324180016
P2,116.0,124.31550621328643,8.315506213286426
S2,98.4,107.5090604184661,9.1090604184661
Cl2,58.1,56.25701808684971,-1.8429819131502896
NaCl,99.4,79.53248709038598,-19.86751290961402
SiO,190.2,192.6262560695759,2.4262560695759134
SC,171.3,176.87652341544162,5.5765234154416135
SO,120.1,135.85280488501303,15.752804885013035
ClO,60.9,80.07270255632466,19.17270255632466
ClF,60.9,68.93306446319912,8.033064463199118
Si2H6,502.9,480.7317315780092,-22.168268421990774
CH3Cl,370.6,367.8075715813902,-2.792428418609802
CH3SH,442.8,443.57119514461374,0.7711951446137277
HOCl,156.1,167.50952573196264,11.409525731962646
SO2,246.6,266.32349467044696,19.723494670446968
LiH,56.5,52.82139370738241,-3.6786062926175873
BeH,45.1,46.14613512224969,1.0461351222496873
CH,80.0,80.22928639630118,0.22928639630117686
CH2,177.2,174.75477784811665,-2.4452221518833426
CH3,287.4,284.5806840634141,-2.8193159365858946
CH4,391.0,387.7759447679746,-3.224055232025421
NH,77.2,82.0035389853656,4.803538985365591
NH2,168.4,175.93926138820098,7.53926138820097
NH3,274.2,282.7142754864399,8.514275486439885
OH,100.5,106.8790230982413,6.379023098241305
OH2,217.3,223.1470154406561,5.847015440656094
FH,134.5,136.791123987452,2.2911239874520106
SiH2,146.9,143.10588923312025,-3.7941107668797542
Li2,26.7,21.043254005513518,-5.6567459944864815
LiF,141.3,129.13411248492775,-12.165887515072257
C2H2,387.0,392.3034326950001,5.303432695000083
C2H4,530.1,529.8141874596986,-0.28581254030143555
H3CCH3,663.5,659.6987789745763,-3.801221025423729
CN,176.3,192.44237461102603,16.142374611026014
HCN,303.1,315.6441017274992,12.544101727499196
CO,257.6,265.8994695256697,8.299469525669679
CHO,270.3,285.4435128544428,15.143512854442804
H2CO,358.1,366.41133534112305,8.311335341123026
CH3OH,479.4,484.5736232173367,5.17362321733674
N2,224.8,245.35151759558357,20.55151759558356
H2NNH2,401.4,424.5728574993118,23.172857499311817
NO,150.2,174.78828604520822,24.588286045208235
O2,115.4,150.69842856052855,35.29842856052855
HOOH,250.3,275.8493094237783,25.54930942377831
F2,37.5,60.516418059633,23.016418059632997
CO2,384.3,403.12548572727246,18.82548572727245
