sys,expt_value,calc_value,error
SiH3,213.1,207.68752218270674,-5.412477817293251
SiH4,304.4,293.6835383869766,-10.716461613023398
PH2,143.9,150.04052017183858,6.140520171838574
PH3,225.0,230.8650236420799,5.865023642079905
SH2,171.1,176.03380323474994,4.933803234749945
ClH,101.2,103.20261258305982,2.0026125830598147
Na2,19.8,12.5037602490047,-7.296239750995301
Si2,74.3,72.3541973392712,-1.945802660728802
P2,116.0,124.31735785026103,8.317357850261033
S2,98.4,107.51100872299867,9.111008722998662
Cl2,58.1,56.259119856054895,-1.8408801439451068
NaCl,99.4,79.53412818268407,-19.865871817315934
SiO,190.2,192.62728331139078,2.427283311390795
SC,171.3,176.8773683545296,5.577368354529597
SO,120.1,135.85388667322695,15.753886673226958
ClO,60.9,80.07382253691321,19.173822536913214
ClF,60.9,68.93434063118184,8.034340631181841
Si2H6,502.9,480.73400651925476,-22.165993480745215
CH3Cl,370.6,367.80877953913296,-2.7912204608670663
CH3SH,442.8,443.5724701855215,0.772470185521513
HOCl,156.1,167.5107690487639,11.41076904876391
SO2,246.6,266.3255195203237,19.72551952032373
LiH,56.5,52.821473086512015,-3.6785269134879854
BeH,45.1,46.14619538889383,1.0461953888938282
CH,80.0,80.22937062352139,0.22937062352139037
CH2,177.2,174.75492058182863,-2.4450794181713604
CH3,287.4,284.5808888308202,-2.8191111691797914
CH4,391.0,387.776205161641,-3.2237948383590265
NH,77.2,82.00363323255442,4.803633232554418
NH2,168.4,175.9394247592354,7.539424759235402
NH3,274.2,282.7144991335299,8.51449913352991
OH,100.5,106.8791007617765,6.379100761776499
OH2,217.3,223.1471640584714,5.847164058471378
FH,134.5,136.79120552456152,2.2912055245615193
SiH2,146.9,143.10616087543895,-3.7938391245610603
Li2,26.7,21.043512721234947,-5.656487278765052
LiF,141.3,129.13447657095094,-12.165523429049074
C2H2,387.0,392.30399100827344,5.303991008273442
C2H4,530.1,529.8148836566979,-0.2851163433020929
H3CCH3,663.5,659.6996109224419,-3.8003890775580658
CN,176.3,192.44284938858618,16.14284938858617
HCN,303.1,315.6446509771122,12.544650977112155
CO,257.6,265.8999745827314,8.299974582731352
CHO,270.3,285.4441008140857,15.144100814085675
H2CO,358.1,366.41200112180377,8.312001121803746
CH3OH,479.4,484.57444538746495,5.174445387464971
N2,224.8,245.3520542530896,20.55205425308958
H2NNH2,401.4,424.57370549933694,23.17370549933696
NO,150.2,174.78886621064157,24.588866210641584
O2,115.4,150.69907535357925,35.29907535357924
HOOH,250.3,275.85013078189513,25.55013078189512
F2,37.5,60.51725094373978,23.017250943739782
CO2,384.3,403.1267292480916,18.826729248091567
