sys,expt_value,calc_value,error
Si,-31.9,-32.91570479620714,-1.0157047962071388
P,-17.2,-17.780166945478413,-0.580166945478414
S,-47.9,-50.432550856872695,-2.532550856872696
Cl,-83.4,-87.32227121980395,-3.922271219803946
SiH,-29.4,-30.3282044675434,-0.9282044675434022
SiH2,-25.9,-27.14681127324002,-1.24681127324002
PH,-23.8,-24.52389383627451,-0.7238938362745095
PH2,-29.3,-30.18987541712704,-0.8898754171270404
SH,-54.4,-54.92517479188973,-0.5251747918897323
PO,-25.1,-26.179758711106842,-1.079758711106841
S2,-38.3,-37.155175109917764,1.1448248900822335
Cl2,-55.1,-55.15377001208253,-0.05377001208253063
C,-29.1,-39.4075794441851,-10.307579444185102
CH2,-15.0,-19.674560253653908,-4.674560253653908
NH,-8.8,-13.253578868410841,-4.45357886841084
NH2,-17.8,-23.634856959477474,-5.834856959477474
O,-33.7,-42.82609639695147,-9.126096396951468
OH,-42.2,-50.33124214156851,-8.131242141568507
F,-78.4,-91.01493983757973,-12.614939837579726
O2,-10.1,-9.596093107014894,0.5039068929851052
NO,-0.5,-5.830638396262657,-5.330638396262657
CN,-89.0,-91.04370099330845,-2.0437009933084482
CH3,-1.8,-8.151457602994924,-6.351457602994924
Li,-14.3,-10.9168936574888,3.3831063425112013
B,-6.4,-13.786850448217592,-7.386850448217592
Na,-12.6,-9.881642842592555,2.7183571574074445
Al,-10.2,-9.456524568726309,0.7434754312736906
C2,-75.5,-135.31138939742232,-59.81138939742232
C2O,-52.8,-56.426679165888345,-3.6266791658883477
CF2,-4.1,-4.866315100749489,-0.7663151007494893
NCO,-83.2,-87.15598208452866,-3.9559820845286566
NO2,-52.4,-48.616381919549895,3.783618080450104
O3,-48.5,-199.30392480525188,-150.80392480525188
SO2,-25.5,-27.62282119243173,-2.1228211924317293
S2O,-43.3,-43.47513414837886,-0.17513414837885932
C2H,-68.5,-97.86394662774546,-29.363946627745463
C2H3,-15.4,-17.748171602244838,-2.348171602244838
H2CCC,-41.4,-212.7731840362685,-171.3731840362685
H2CCCH,-20.6,-27.989437568117864,-7.389437568117863
CH2CHCH2,-10.9,-18.102054026254336,-7.202054026254336
CHO,-7.2,-6.859210546172108,0.3407894538278926
HCF,-12.5,-15.792446015300811,-3.2924460153008113
CH3O,-36.2,-45.963194114359794,-9.763194114359791
CH3S,-43.1,-45.99316755315522,-2.893167553155216
CH2S,-10.7,-12.729359807446599,-2.0293598074465997
CH2CN,-35.6,-43.07831937543233,-7.478319375432328
CH2NC,-24.4,-32.01717856056348,-7.617178560563481
CHCO,-54.2,-57.83041373883316,-3.6304137388331554
CH2CHO,-42.1,-49.83906257501803,-7.739062575018032
CH3CO,-9.8,-10.856730995379621,-1.0567309953796205
CH3CH2O,-39.5,-51.761108758160844,-12.261108758160844
CH3CH2S,-45.0,-50.764627660799306,-5.764627660799306
LiH,-7.9,-8.478018620424336,-0.578018620424336
HNO,-7.8,-11.972837199544301,-4.172837199544301
HO2,-24.9,-20.54951529794198,4.350484702058019
