sys,expt_value,calc_value,error
Na,118.5,120.07779084840149,1.5777908484014915
Mg,176.3,173.71871862800617,-2.581281371993839
Al,138.0,134.94257439434296,-3.057425605657045
Si,187.9,186.14784186295583,-1.7521581370441766
P,241.9,240.02609707025113,-1.8739029297488798
S,238.9,237.27897502839915,-1.6210249716008605
Cl,299.1,299.53620843362296,0.43620843362293726
SiH4,253.7,319.62276509412914,65.92276509412915
PH,234.1,233.21385573790758,-0.8861442620924151
PH2,226.5,226.52209539958858,0.022095399588579312
PH3,227.6,226.17738999737776,-1.4226100026222355
SH,239.1,239.06086797165335,-0.039132028346642755
SH2,241.4,239.35411042397027,-2.0458895760297366
P2,242.8,241.85580952343298,-0.9441904765670301
S2,215.8,215.28478244919097,-0.5152175508090409
Cl2,265.2,256.9574323454872,-8.242567654512811
ClF,291.9,286.5420666595455,-5.357933340454451
SC,261.3,309.9675179036567,48.66751790365669
Li,124.3,123.93347920352426,-0.36652079647574
B,191.4,197.22253354298846,5.822533542988452
C,259.7,267.8317761409053,8.131776140905288
N,335.3,344.3996203781644,9.099620378164389
O,313.9,319.8400746966945,5.9400746966945235
F,401.7,412.4742783972397,10.774278397239698
CH4,291.0,282.91105902540585,-8.088940974594152
NH3,234.8,239.23786070226197,4.437860702261958
OH,300.0,305.4101510711407,5.410151071140717
OH2,291.0,296.1385324154908,5.138532415490772
FH,369.9,378.417051064891,8.517051064891007
ClH,294.0,292.7339074133779,-1.2660925866221078
C2H2,262.9,267.1930578538377,4.293057853837695
C2H4,242.4,247.1464792526458,4.746479252645798
CO,323.1,324.28152136266,1.1815213626599643
N2,359.3,359.91965294438705,0.6196529443870418
O2,278.3,285.89504072345153,7.595040723451518
He,567.0,561.0530993126231,-5.94690068737691
Ne,497.2,511.0394100622798,13.839410062279796
Ar,363.4,365.42244586348534,2.022445863485359
BF3,358.8,344.26780656399205,-14.532193436007958
BCl3,267.5,249.42430690291803,-18.075693097081967
CO2,317.6,321.5415348067472,3.9415348067471996
CF2,263.3,258.73942809319124,-4.560571906808775
CH2,239.7,243.80941401969903,4.109414019699045
CH3,227.0,231.7225495834973,4.722549583497312
C2H5,187.2,182.3250785676937,-4.87492143230628
C3H4,223.0,217.3790629167488,-5.620937083251192
CH2CCH2,223.5,230.9334130963398,7.433413096339791
CH3CHCH3,170.0,163.0517804781848,-6.94821952181519
C6H6,213.2,214.2201401279599,1.0201401279599054
CN,313.6,341.8719420716152,28.27194207161517
CHO,187.7,191.83672312289127,4.136723122891283
H2COH,174.2,172.8911906645808,-1.3088093354191983
CH3O,247.3,231.41689689134364,-15.883103108656371
CH3OH,250.2,239.35342899026,-10.84657100973999
CH3F,287.6,274.8091860010172,-12.790813998982799
CH2S,216.2,213.55339523643488,-2.646604763565108
CH2SH,173.8,171.480217637436,-2.3197823625640126
CH3SH,217.7,213.37185012141708,-4.328149878582906
CH3Cl,258.7,258.4044892512029,-0.29551074879708494
C2H5OH,241.4,226.87785958209133,-14.522140417908673
CH3CHO,235.9,232.22008338214073,-3.679916617859277
CH3OF,261.5,251.74680465689744,-9.753195343102561
C2H4S,208.7,207.2220384348766,-1.477961565123394
NCCN,308.3,322.4998195737717,14.199819573771663
C4H4O,203.6,206.97855305852136,3.378553058521362
C4H5N,189.3,192.51378347161517,3.2137834716151588
B2H4,223.7,223.55863129512727,-0.14136870487271835
NH,311.1,319.6170381139309,8.51703811393088
NH2,256.9,260.3891949484969,3.489194948496902
N2H2,221.1,215.46329018101096,-5.636709818989033
N2H3,175.5,176.39342424397182,0.8934242439718219
HOF,293.1,286.2508115656674,-6.849188434332632
SiH2,211.0,206.54993704208755,-4.450062957912451
Si2H2,189.1,190.97925475856755,1.879254758567555
Si2H5,175.3,175.82646922871936,0.5264692287193498
Si2H6,224.6,221.48586364410585,-3.1141363558941464
