sys,expt_value,calc_value,error
SiH3,213.1,212.92660384482588,-0.17339615517411744
SiH4,304.4,299.81529374126694,-4.584706258733036
PH2,143.9,146.4735875549377,2.5735875549376885
PH3,225.0,225.63125625890098,0.6312562589009758
SH2,171.1,170.22686593426624,-0.8731340657337512
ClH,101.2,100.28172777366126,-0.9182722263387433
Na2,19.8,19.143652310740435,-0.6563476892595652
Si2,74.3,70.79886069393251,-3.5011393060674862
P2,116.0,115.08860165369697,-0.9113983463030308
S2,98.4,98.7572380018537,0.3572380018536876
Cl2,58.1,55.649619830423035,-2.4503801695769667
NaCl,99.4,98.16352951916633,-1.236470480833674
SiO,190.2,185.15299646259518,-5.047003537404805
SC,171.3,165.17592599161435,-6.124074008385662
SO,120.1,117.93949280871311,-2.1605071912868823
ClO,60.9,58.40674899087753,-2.493251009122467
ClF,60.9,55.613468639727216,-5.286531360272782
Si2H6,502.9,496.1775000866037,-6.722499913396291
CH3Cl,370.6,369.1336435630801,-1.4663564369199094
CH3SH,442.8,441.0782088759588,-1.7217911240412036
HOCl,156.1,152.3653315344709,-3.734668465529097
SO2,246.6,232.30708269786555,-14.292917302134441
LiH,56.5,54.68211433549186,-1.8178856645081396
BeH,45.1,50.05407929921239,4.954079299212388
CH,80.0,78.50063736311859,-1.4993626368814148
CH2,177.2,180.3201341629574,3.120134162957413
CH3,287.4,286.5594512593125,-0.8405487406874954
CH4,391.0,388.83034050487913,-2.169659495120868
NH,77.2,77.62475236377941,0.4247523637794046
NH2,168.4,167.30716962312727,-1.0928303768727403
NH3,274.2,272.19148434325325,-2.008515656746738
OH,100.5,100.02005792583805,-0.4799420741619542
OH2,217.3,215.14647396201326,-2.153526037986751
FH,134.5,132.04320276420913,-2.456797235790873
SiH2,146.9,144.99315626590396,-1.906843734096043
Li2,26.7,23.110982683872862,-3.589017316127137
LiF,141.3,134.59763502134592,-6.702364978654089
C2H2,387.0,384.6357191689822,-2.3642808310178225
C2H4,530.1,527.2976331378959,-2.8023668621041224
H3CCH3,663.5,660.8753801645944,-2.6246198354056105
CN,176.3,171.81882561118982,-4.481174388810189
HCN,303.1,298.18147373828833,-4.9185262617116905
CO,257.6,254.181371869563,-3.418628130437014
CHO,270.3,267.95917770852975,-2.3408222914702606
H2CO,358.1,353.8703395441553,-4.229660455844737
CH3OH,479.4,476.91536239777633,-2.4846376022236427
N2,224.8,220.0700770024996,-4.72992299750041
H2NNH2,401.4,400.1220712772192,-1.2779287227807572
NO,150.2,146.22329479952168,-3.976705200478307
O2,115.4,116.28299317562778,0.8829931756277745
HOOH,250.3,246.73004449516884,-3.569955504831171
F2,37.5,29.634429429934244,-7.865570570065756
CO2,384.3,378.0760282932897,-6.2239717067103015
