sys,expt_value,calc_value,error
Na,118.5,119.12376730304095,0.6237673030409496
Mg,176.3,178.8658017484122,2.5658017484121842
Al,138.0,133.4076162785641,-4.592383721435908
Si,187.9,184.17466384879663,-3.725336151203379
P,241.9,237.47938640005304,-4.420613599946961
S,238.9,239.03367913071997,0.13367913071996895
Cl,299.1,299.4690613519051,0.3690613519050885
SiH4,253.7,264.3873840655142,10.687384065514209
PH,234.1,232.45258764296887,-1.6474123570311292
PH2,226.5,225.3534587355971,-1.146541264402913
PH3,227.6,224.33000949947746,-3.269990500522539
SH,239.1,238.02761492485297,-1.0723850751470252
SH2,241.4,239.4734858831216,-1.9265141168783941
P2,242.8,238.55603405286092,-4.243965947139088
S2,215.8,221.66884441807633,5.868844418076321
Cl2,265.2,267.5531146255089,2.3531146255089084
ClF,291.9,296.0306666364195,4.130666636419505
Li,124.3,124.9157204682042,0.6157204682042021
Be,214.9,209.08045355105423,-5.819546448945772
B,191.4,191.82959922064038,0.4295992206403696
C,259.7,261.0754088761496,1.3754088761496064
N,335.3,335.6128312730216,0.31283127302157254
O,313.9,315.71020405942545,1.8102040594254731
F,401.7,404.5943429431063,2.8943429431063237
CH4,291.0,289.26635808906576,-1.7336419109342387
NH3,234.8,234.73631137541088,-0.06368862458913327
OH,300.0,300.16335889996117,0.16335889996116748
OH2,291.0,289.6706888006156,-1.3293111993843922
FH,369.9,368.70914210959745,-1.1908578904025262
ClH,294.0,293.64134285692126,-0.3586571430787444
C2H2,262.9,259.8458803137037,-3.0541196862963034
C2H4,242.4,236.87818876002711,-5.521811239972891
CO,323.1,326.17657113057794,3.0765711305779178
N2,359.3,373.185014650604,13.885014650603978
O2,278.3,293.6887055610423,15.388705561042286
He,567.0,569.0666984208801,2.0666984208801296
Ne,497.2,498.19745856490044,0.9974585649004553
Ar,363.4,365.1802475247532,1.7802475247532357
BF3,358.8,360.7964096307405,1.9964096307405157
BCl3,267.5,268.8355328202015,1.335532820201479
B2F4,278.3,271.0034988200059,-7.296501179994095
CO2,317.6,321.3022411448328,3.702241144832783
CF2,263.3,264.2187858102552,0.9187858102552013
CH2,239.7,238.44697154149253,-1.2530284585074583
CH3,227.0,226.03433312786,-0.965666872139991
C2H5,187.2,186.7596337384166,-0.4403662615833923
C3H4,223.0,219.9013479090936,-3.0986520909063984
CH2CCH2,223.5,227.5086996179598,4.008699617959792
CH3CHCH3,170.0,169.70968527332298,-0.29031472667702474
C6H6,213.2,212.65556469824514,-0.5444353017548451
CHO,187.7,192.21394971395785,4.513949713957857
H2COH,174.2,174.3398352720542,0.13983527205419932
CH3O,247.3,244.14200794510543,-3.157992054894578
CH3OH,250.2,250.41683664212178,0.2168366421217911
CH2S,216.2,215.6216538567096,-0.5783461432903891
CH2SH,173.8,174.90166644740384,1.1016664474038294
CH3SH,217.7,216.72170281631406,-0.9782971836859247
CH3Cl,258.7,260.19230569910724,1.4923056991072485
C2H5OH,241.4,240.753486552494,-0.6465134475060097
CH3CHO,235.9,235.19942354154773,-0.7005764584522751
CH3OF,261.5,261.7491813984525,0.24918139845249243
C2H4S,208.7,207.9071165882633,-0.7928834117366819
NCCN,308.3,306.76365924914717,-1.536340750852844
C4H5N,189.3,189.5377327958995,0.2377327958994897
B2H4,223.7,216.7633371101765,-6.936662889823481
NH,311.1,312.2787903299104,1.1787903299103846
NH2,256.9,255.4094247953326,-1.4905752046673797
N2H2,221.1,222.15059395480785,1.0505939548078516
N2H3,175.5,179.0565962280525,3.5565962280525127
HOF,293.1,294.129072483498,1.0290724834979983
SiH2,211.0,205.594133194827,-5.405866805172991
SiH3,187.6,186.33646758491523,-1.263532415084768
Si2H2,189.1,186.52032651926856,-2.5796734807314294
Si2H4,186.6,178.6625085886917,-7.937491411308287
Si2H5,175.3,175.369486911688,0.0694869116879886
Si2H6,224.6,220.3685202737106,-4.231479726289393
