sys,expt_value,calc_value,error
SiH3,213.1,216.36615989205893,3.266159892058937
SiH4,304.4,306.5989788521256,2.198978852125606
PH2,143.9,143.15917808623635,-0.7408219137636536
PH3,225.0,223.2406672683428,-1.7593327316571958
SH2,171.1,169.75333679790492,-1.3466632020950726
ClH,101.2,101.38230688177282,0.18230688177281706
Na2,19.8,19.691932644724147,-0.10806735527585332
Si2,74.3,76.38112991576781,2.081129915767818
P2,116.0,109.86737821425777,-6.132621785742231
S2,98.4,105.67055249231635,7.270552492316341
Cl2,58.1,59.31706279388163,1.217062793881631
NaCl,99.4,110.01352416811278,10.613524168112775
SiO,190.2,185.43101344068418,-4.768986559315806
SC,171.3,169.22753966238815,-2.072460337611858
SO,120.1,122.06004191149259,1.9600419114925955
ClO,60.9,62.84092538006371,1.9409253800637103
ClF,60.9,57.010020069079474,-3.889979930920525
Si2H6,502.9,508.046118785569,5.146118785569001
CH3Cl,370.6,369.6154112377553,-0.984588762244698
CH3SH,442.8,439.8293853411451,-2.970614658854913
HOCl,156.1,150.1842942170333,-5.915705782966683
SO2,246.6,242.1161721633398,-4.483827836660197
LiH,56.5,57.112508487537525,0.6125084875375251
BeH,45.1,55.629021723249025,10.529021723249024
CH,80.0,77.85764426393871,-2.1423557360612904
CH2,177.2,180.54046069957258,3.3404606995725885
CH3,287.4,286.49385740499565,-0.9061425950043258
CH4,391.0,387.6296239440999,-3.370376055900124
NH,77.2,76.76097313223727,-0.4390268677627347
NH2,168.4,166.52346835924982,-1.876531640750187
NH3,274.2,267.08752367578563,-7.112476324214356
OH,100.5,97.98187080045318,-2.51812919954682
OH2,217.3,209.18987971418392,-8.110120285816095
FH,134.5,129.11498828307958,-5.385011716920417
SiH2,146.9,146.20054937826353,-0.6994506217364744
Li2,26.7,23.719808853380528,-2.9801911466194717
LiF,141.3,137.62752907957474,-3.672470920425269
C2H2,387.0,385.0172665524369,-1.9827334475630778
C2H4,530.1,527.362919673229,-2.737080326770979
H3CCH3,663.5,659.8626930479659,-3.6373069520341232
CN,176.3,179.06656516803923,2.7665651680392216
HCN,303.1,298.4273480059783,-4.672651994021749
CO,257.6,253.19169074107776,-4.408309258922259
CHO,270.3,270.6680294687685,0.36802946876849774
H2CO,358.1,354.61128123567323,-3.4887187643267907
CH3OH,479.4,471.52083499904256,-7.879165000957414
N2,224.8,216.93992771868943,-7.860072281310579
H2NNH2,401.4,391.39341726469866,-10.006582735301322
NO,150.2,144.72833010049362,-5.471669899506367
O2,115.4,119.54157157892769,4.141571578927682
HOOH,250.3,240.7014868999686,-9.598513100031425
F2,37.5,34.57472842956486,-2.925271570435143
CO2,384.3,387.76887472870294,3.4688747287029287
