sys,expt_value,calc_value,error
Na,118.5,104.51370117107581,-13.986298828924191
Mg,176.3,173.871811921068,-2.42818807893201
Al,138.0,135.1512465455162,-2.8487534544838127
Si,187.9,185.4587953798764,-2.4412046201236137
P,241.9,241.7821641373157,-0.11783586268430213
S,238.9,232.4286269310105,-6.471373068989493
Cl,299.1,295.3973281692015,-3.702671830798522
SiH4,253.7,266.40189513060614,12.701895130606147
PH,234.1,234.12358518061228,0.02358518061228665
PH2,226.5,226.07275909170858,-0.4272409082914237
PH3,227.6,225.71209264430217,-1.8879073556978199
SH,239.1,234.92985667384346,-4.170143326156534
SH2,241.4,236.35950050433166,-5.040499495668342
P2,242.8,236.21958772232756,-6.580412277672451
S2,215.8,217.979804769333,2.179804769332975
Cl2,265.2,259.71574001561385,-5.484259984386142
ClF,291.9,289.0965099594323,-2.803490040567681
Li,124.3,117.98652094509453,-6.313479054905471
Be,214.9,205.98511330315887,-8.914886696841137
B,191.4,198.20273429717963,6.802734297179626
C,259.7,262.47243495446673,2.772434954466746
N,335.3,340.5859946359851,5.285994635985105
O,313.9,317.67553338525613,3.7755333852561535
F,401.7,402.3867759685454,0.6867759685454189
CH4,291.0,285.3052127030096,-5.694787296990398
NH3,234.8,231.62487374348711,-3.175126256512897
OH,300.0,298.0150770678738,-1.98492293212621
OH2,291.0,286.4091192166452,-4.590880783354805
FH,369.9,366.5088179992963,-3.3911820007036795
ClH,294.0,291.8825843994273,-2.1174156005727127
C2H2,262.9,255.09695610534982,-7.803043894650159
C2H4,242.4,236.20087381887424,-6.199126181125763
CO,323.1,317.59566410564,-5.504335894359997
N2,359.3,356.1976910238154,-3.102308976184588
O2,278.3,289.5289299116266,11.228929911626608
He,567.0,567.8919206949697,0.8919206949697127
Ne,497.2,497.9851492437883,0.7851492437883394
Ar,363.4,364.6926429839805,1.2926429839804996
BF3,358.8,342.2403471664875,-16.55965283351253
BCl3,267.5,253.14265509392135,-14.357344906078652
B2F4,278.3,259.42808117961977,-18.871918820380245
CO2,317.6,314.90216142205463,-2.69783857794539
CF2,263.3,256.49348721370916,-6.8065127862908525
CH2,239.7,239.68809064784364,-0.01190935215635136
CH3,227.0,228.50273081939304,1.5027308193930367
C2H5,187.2,187.70368089406838,0.5036808940683954
C3H4,223.0,214.0967947817553,-8.903205218244693
CH2CCH2,223.5,223.16837973911606,-0.3316202608839376
CH3CHCH3,170.0,168.4683132054488,-1.5316867945512058
C6H6,213.2,220.67356363291037,7.473563632910384
CHO,187.7,191.30939356978342,3.6093935697834354
H2COH,174.2,174.03000975273608,-0.169990247263911
CH3O,247.3,240.0860818145593,-7.213918185440718
CH3OH,250.2,244.73592045849364,-5.464079541506351
CH2S,216.2,210.93485113268252,-5.265148867317464
CH2SH,173.8,173.18128870939836,-0.6187112906016523
CH3SH,217.7,212.64510309247999,-5.054896907520003
CH3Cl,258.7,260.0166923594079,1.3166923594079094
C2H5OH,241.4,232.3747943315102,-9.025205668489804
CH3CHO,235.9,229.61268851575733,-6.287311484242679
CH3OF,261.5,254.85806104526273,-6.64193895473727
C2H4S,208.7,204.1846410704311,-4.51535892956889
NCCN,308.3,324.3796664255642,16.0796664255642
C4H5N,189.3,185.35803177332855,-3.941968226671463
B2H4,223.7,215.87690117060265,-7.823098829397338
NH,311.1,314.7701187725979,3.6701187725979025
NH2,256.9,255.79930702062848,-1.1006929793715017
N2H2,221.1,218.4323944474745,-2.6676055525254867
N2H3,175.5,178.00469841556333,2.5046984155633254
HOF,293.1,288.90423917739827,-4.1957608226017555
SiH2,211.0,206.29548027916462,-4.704519720835378
SiH3,187.6,186.10422092792578,-1.495779072074214
Si2H2,189.1,186.1544600254856,-2.9455399745143893
Si2H4,186.6,180.101300713839,-6.498699286160985
Si2H5,175.3,173.65727347449865,-1.6427265255013594
Si2H6,224.6,217.19333628122695,-7.406663718773046
