sys,expt_value,calc_value,error
SiH3,213.1,232.2260818257928,19.126081825792795
SiH4,304.4,326.500520468544,22.100520468544005
PH2,143.9,163.69671118614497,19.79671118614496
PH3,225.0,252.91777423591702,27.917774235917022
SH2,171.1,194.62531918863533,23.525319188635336
ClH,101.2,114.82369134144392,13.623691341443916
Na2,19.8,19.659329023270402,-0.1406709767295986
Si2,74.3,88.71079048461979,14.410790484619795
P2,116.0,139.38385674858,23.38385674858
S2,98.4,130.30112328997348,31.90112328997347
Cl2,58.1,79.07649558607955,20.976495586079544
NaCl,99.4,103.43339508859208,4.033395088592073
SiO,190.2,219.4392876563361,29.239287656336103
SC,171.3,198.13728285033721,26.837282850337203
SO,120.1,160.80012706050184,40.70012706050184
ClO,60.9,98.69368365150876,37.793683651508765
ClF,60.9,89.22484682011418,28.324846820114182
Si2H6,502.9,546.6654369460884,43.76543694608847
CH3Cl,370.6,422.04431312181987,51.444313121819846
CH3SH,442.8,505.1909958324977,62.39099583249771
HOCl,156.1,198.5031949924305,42.403194992430514
SO2,246.6,318.58396133524366,71.98396133524366
LiH,56.5,58.60649248909522,2.106492489095217
BeH,45.1,57.20654763642051,12.106547636420508
CH,80.0,86.96912683468327,6.969126834683266
CH2,177.2,201.0097226653561,23.809722665356105
CH3,287.4,319.6427930446007,32.24279304460072
CH4,391.0,433.64421048702206,42.644210487022065
NH,77.2,89.61932309084659,12.41932309084659
NH2,168.4,194.0325814763055,25.63258147630549
NH3,274.2,313.96373708608735,39.76373708608736
OH,100.5,117.06027612106845,16.560276121068455
OH2,217.3,250.95215668288438,33.65215668288437
FH,134.5,154.88812931846041,20.388129318460415
SiH2,146.9,157.68064291303745,10.78064291303744
Li2,26.7,23.081998464002027,-3.6180015359979727
LiF,141.3,154.6892332555144,13.389233255514398
C2H2,387.0,441.07454620247154,54.07454620247154
C2H4,530.1,598.9261976920388,68.82619769203882
H3CCH3,663.5,746.4459088345466,82.94590883454657
CN,176.3,214.281365574956,37.98136557495599
HCN,303.1,348.06293835828546,44.96293835828544
CO,257.6,294.1974948809948,36.59749488099476
CHO,270.3,322.89390020516294,52.593900205162925
H2CO,358.1,415.20455492399924,57.10455492399922
CH3OH,479.4,552.5403081606346,73.14030816063462
N2,224.8,261.14208945083374,36.342089450833726
H2NNH2,401.4,479.5201811961888,78.12018119618881
NO,150.2,193.50206960449577,43.302069604495784
O2,115.4,170.289287538777,54.88928753877698
HOOH,250.3,316.04114476728137,65.74114476728136
F2,37.5,74.41019515272637,36.910195152726374
CO2,384.3,462.45658751898736,78.15658751898735
