sys,expt_value,calc_value,error
Si,-31.9,-36.07396418065764,-4.1739641806576415
P,-17.2,-22.73166988126468,-5.53166988126468
S,-47.9,-54.78723864679341,-6.8872386467934135
Cl,-83.4,-91.33800693519879,-7.938006935198786
SiH,-29.4,-33.52984100341564,-4.129841003415642
SiH2,-25.9,-30.253915696317563,-4.353915696317564
SiH3,-32.5,-36.89122405773378,-4.39122405773378
PH,-23.8,-28.447350955364527,-4.6473509553645265
PH2,-29.3,-33.54072056946461,-4.24072056946461
SH,-54.4,-58.67507838938036,-4.275078389380361
PO,-25.1,-28.92113114372478,-3.8211311437247772
S2,-38.3,-40.27210474800086,-1.9721047480008593
Cl2,-55.1,-60.980282636359334,-5.880282636359333
C,-29.1,-40.9849024504947,-11.8849024504947
CH,-28.6,-39.800270066691155,-11.200270066691154
CH2,-15.0,-21.32779920856774,-6.32779920856774
NH,-8.8,-15.114475349844724,-6.314475349844724
NH2,-17.8,-25.262193774004118,-7.462193774004117
O,-33.7,-45.14988626749255,-11.449886267492545
OH,-42.2,-52.39349215335096,-10.19349215335096
F,-78.4,-93.36099038081738,-14.960990380817378
O2,-10.1,-11.976048512675334,-1.8760485126753341
NO,-0.5,-8.330420609578141,-7.830420609578141
CN,-89.0,-92.79441243710608,-3.7944124371060752
CH3,-1.8,-9.54002161322569,-7.74002161322569
Li,-14.3,-13.57957936816183,0.7204206318381701
B,-6.4,-15.319303307212977,-8.919303307212976
Na,-12.6,-14.165565281247837,-1.565565281247837
Al,-10.2,-12.900841661845334,-2.7008416618453346
C2,-75.5,-136.61460399122006,-61.114603991220065
C2O,-52.8,-57.8413039517618,-5.041303951761805
CF2,-4.1,-7.524144274531864,-3.424144274531864
NCO,-83.2,-88.75657325037173,-5.556573250371727
NO2,-52.4,-50.271710146960686,2.1282898530393126
O3,-48.5,-201.07109837676398,-152.57109837676398
OF,-52.4,-54.26035052949737,-1.8603505294973743
SO2,-25.5,-30.282863055414055,-4.7828630554140545
S2O,-43.3,-46.1264796606265,-2.8264796606265037
C2H,-68.5,-99.27713283161575,-30.777132831615745
C2H3,-15.4,-19.25272629720712,-3.852726297207118
H2CCC,-41.4,-47.54317087978416,-6.143170879784158
H2CCCH,-20.6,-29.36836980575754,-8.768369805757537
CH2CHCH2,-10.9,-19.20018727259594,-8.30018727259594
CHO,-7.2,-8.820861915650312,-1.6208619156503117
HCF,-12.5,-18.25952438179229,-5.759524381792289
CH3O,-36.2,-47.301904650914366,-11.101904650914364
CH3S,-43.1,-48.33264553331537,-5.23264553331537
CH2S,-10.7,-15.440576675580814,-4.740576675580815
CH2CN,-35.6,-44.30033193597046,-8.70033193597046
CH2NC,-24.4,-33.38080333563266,-8.980803335632665
CHCO,-54.2,-59.29729682393372,-5.097296823933718
CH2CHO,-42.1,-51.14244019280886,-9.042440192808861
CH3CO,-9.8,-12.138128977137967,-2.3381289771379663
CH3CH2O,-39.5,-52.80433145466668,-13.30433145466668
CH3CH2S,-45.0,-52.30687636433868,-7.306876364338677
LiH,-7.9,-9.843675979391264,-1.943675979391264
HNO,-7.8,-14.21267924249696,-6.412679242496961
HO2,-24.9,-23.10920357167197,1.7907964283280293
