sys,expt_value,calc_value,error
Na,118.5,123.87738879054086,5.377388790540863
Mg,176.3,178.0256987271423,1.7256987271422872
Al,138.0,139.0333043851424,1.0333043851424009
Si,187.9,189.79888684573234,1.898886845732335
P,241.9,243.44252919199062,1.5425291919906101
S,238.9,242.40977368230233,3.509773682302324
Cl,299.1,304.0974607898388,4.997460789838783
SiH4,253.7,322.71560300371493,69.01560300371494
PH,234.1,236.6979503253242,2.597950325324206
PH2,226.5,229.8933391001192,3.393339100119192
PH3,227.6,229.5237045843969,1.9237045843969156
SH,239.1,243.1907604052103,4.090760405210318
SH2,241.4,242.94953115691897,1.5495311569189596
P2,242.8,243.86922111158492,1.069221111584909
S2,215.8,218.4143731474178,2.61437314741778
Cl2,265.2,260.3311183473561,-4.868881652643893
ClF,291.9,290.08790262945695,-1.8120973705430288
SC,261.3,310.8538117201533,49.553811720153305
Li,124.3,126.17784852497061,1.8778485249706165
Be,214.9,208.10631351890333,-6.793686481096671
B,191.4,199.14369398246345,7.743693982463441
C,259.7,269.5798636263062,9.87986362630619
N,335.3,346.2508151254515,10.95081512545147
O,313.9,322.73589480669034,8.835894806690362
F,401.7,414.946032898486,13.246032898486021
CH4,291.0,284.40739980711805,-6.592600192881946
NH3,234.8,240.81634984006814,6.016349840068131
OH,300.0,307.4106480960254,7.4106480960253975
OH2,291.0,297.99498387965286,6.994983879652864
FH,369.9,380.7239083072418,10.823908307241823
ClH,294.0,296.73570479947375,2.7357047994737513
C2H2,262.9,268.279963468216,5.379963468216033
C2H4,242.4,247.9773324774651,5.577332477465092
CO,323.1,326.4565771074558,3.3565771074557915
N2,359.3,361.62011114550114,2.32011114550113
O2,278.3,288.38974338218395,10.08974338218394
He,567.0,559.9809109672301,-7.019089032769898
Ne,497.2,513.5907679406373,16.390767940637318
Ar,363.4,369.67856461316114,6.278564613161166
BF3,358.8,346.3486599463795,-12.451340053620527
BCl3,267.5,251.7643616036512,-15.735638396348804
B2F4,278.3,265.52996250410797,-12.77003749589204
CO2,317.6,323.2664228411013,5.66642284110128
CF2,263.3,260.5638113579189,-2.7361886420811175
CH2,239.7,245.26641496918455,5.566414969184564
CH3,227.0,233.04051209101817,6.040512091018172
C2H5,187.2,184.19167523992655,-3.0083247600734353
C3H4,223.0,218.78870608619764,-4.211293913802365
CH2CCH2,223.5,232.09381909844524,8.593819098445238
CH3CHCH3,170.0,164.6220528381964,-5.377947161803604
C6H6,213.2,215.29941667066305,2.099416670663061
CN,313.6,343.42829563572013,29.82829563572011
CHO,187.7,193.93505648926657,6.235056489266583
H2COH,174.2,174.9205313160055,0.7205313160055198
CH3O,247.3,233.44185768355965,-13.858142316440365
CH3OH,250.2,241.59177350290702,-8.608226497092971
CH3F,287.6,277.17570473138767,-10.424295268612354
CH2S,216.2,216.30427268287167,0.1042726828716809
CH2SH,173.8,174.28806436882587,0.48806436882586013
CH3SH,217.7,215.83489019802073,-1.8651098019792585
CH3Cl,258.7,261.07440412585856,2.3744041258585753
C2H5OH,241.4,228.53956922762154,-12.860430772378464
CH3CHO,235.9,233.5759922805737,-2.324007719426305
CH3OF,261.5,253.83065627497854,-7.669343725021463
C2H4S,208.7,209.06238321727142,0.36238321727142875
NCCN,308.3,324.20135831185326,15.901358311853244
C4H4O,203.6,208.14312021937803,4.543120219378039
C4H5N,189.3,193.54965960833943,4.249659608339414
B2H4,223.7,224.43970554661064,0.7397055466106508
NH,311.1,321.52093694234645,10.42093694234643
NH2,256.9,262.2648037178151,5.364803717815107
N2H2,221.1,217.4721316491923,-3.627868350807688
N2H3,175.5,178.49611831757647,2.9961183175764745
HOF,293.1,289.1217587431165,-3.978241256883507
SiH2,211.0,210.1606401714089,-0.8393598285911139
SiH3,187.6,190.17138280402287,2.571382804022875
Si2H2,189.1,193.0248026555637,3.9248026555636955
Si2H4,186.6,187.58375209086807,0.9837520908680801
Si2H5,175.3,177.87468473863555,2.57468473863554
Si2H6,224.6,222.1792331195902,-2.4207668804097864
