sys,expt_value,calc_value,error
SiH3,213.1,232.2260818076029,19.1260818076029
SiH4,304.4,326.5005204497429,22.10052044974293
PH2,143.9,163.69671118614497,19.79671118614496
PH3,225.0,252.91777423527674,27.917774235276738
SH2,171.1,194.62531912024133,23.525319120241335
ClH,101.2,114.8236913383007,13.623691338300702
Na2,19.8,19.659329023910686,-0.14067097608931434
Si2,74.3,88.71079044952057,14.410790449520576
P2,116.0,139.38385674793972,23.383856747939717
S2,98.4,130.30112315370934,31.901123153709335
Cl2,58.1,79.07649558165576,20.97649558165576
NaCl,99.4,103.43339508608915,4.033395086089143
SiO,190.2,219.43928473093547,29.23928473093548
SC,171.3,198.13728341570823,26.837283415708214
SO,120.1,160.80012408364564,40.70012408364565
ClO,60.9,98.69368073990336,37.79368073990336
ClF,60.9,89.2248436875525,28.324843687552494
Si2H6,502.9,546.665436752839,43.76543675283904
CH3Cl,370.6,422.04431375319837,51.444313753198344
CH3SH,442.8,505.19099638971966,62.390996389719646
HOCl,156.1,198.50319208018482,42.40319208018482
SO2,246.6,318.58395545120584,71.98395545120584
LiH,56.5,58.60649248909522,2.106492489095217
BeH,45.1,57.20654763642051,12.106547636420508
CH,80.0,86.9691274697143,6.969127469714294
CH2,177.2,201.00972330038712,23.809723300387134
CH3,287.4,319.6427936796317,32.242793679631745
CH4,391.0,433.6442111220531,42.64421112205309
NH,77.2,89.61932309084659,12.41932309084659
NH2,168.4,194.0325814763055,25.63258147630549
NH3,274.2,313.9637370917335,39.7637370917335
OH,100.5,117.06027321321744,16.560273213217442
OH2,217.3,250.95215377503337,33.652153775033355
FH,134.5,154.88812618784868,20.388126187848684
SiH2,146.9,157.68064289484755,10.780642894847546
Li2,26.7,23.081998464002027,-3.6180015359979727
LiF,141.3,154.68923012490268,13.389230124902667
C2H2,387.0,441.0745474725336,54.074547472533595
C2H4,530.1,598.9261989621009,68.82619896210088
H3CCH3,663.5,746.4459101046086,82.94591010460863
CN,176.3,214.28136620998703,37.981366209987016
HCN,303.1,348.0629389933165,44.96293899331647
CO,257.6,294.1974926081748,36.597492608174775
CHO,270.3,322.8938979329687,52.59389793296867
H2CO,358.1,415.20455265117926,57.10455265117923
CH3OH,479.4,552.5403058871889,73.1403058871889
N2,224.8,261.14208945083374,36.342089450833726
H2NNH2,401.4,479.52018157581915,78.12018157581917
NO,150.2,193.50206669664476,43.30206669664477
O2,115.4,170.28928172307496,54.88928172307496
HOOH,250.3,316.04113895157934,65.74113895157933
F2,37.5,74.41018889148836,36.91018889148836
CO2,384.3,462.4565823383018,78.1565823383018
