sys,expt_value,calc_value,error
Na,118.5,123.87738879054086,5.377388790540863
Mg,176.3,178.02569872651657,1.7256987265165549
Al,138.0,139.0333042452403,1.0333042452402879
Si,187.9,189.7988868620596,1.8988868620595838
P,241.9,243.44252920077997,1.542529200779967
S,238.9,242.4097737519478,3.5097737519477903
Cl,299.1,304.09746079175966,4.997460791759636
SiH4,253.7,322.7130929911218,69.01309299112182
PH,234.1,236.69481281095068,2.5948128109506854
PH2,226.5,229.8933391001192,3.393339100119192
PH3,227.6,229.52370458311634,1.923704583116347
SH,239.1,243.19076040462824,4.0907604046282415
SH2,241.4,242.94953115755925,1.5495311575592439
P2,242.8,243.86922111094464,1.0692211109446248
S2,215.8,218.4143731505028,2.614373150502786
Cl2,265.2,260.3311183504993,-4.868881649500679
ClF,291.9,290.0879026306211,-1.8120973693788756
SC,261.3,310.85381171887275,49.55381171887274
Li,124.3,126.17784852497061,1.8778485249706165
Be,214.9,208.10631351890333,-6.793686481096671
B,191.4,199.14369397116934,7.7436939711693356
C,259.7,269.5798679322361,9.879867932236095
N,335.3,346.25082160693273,10.95082160693272
O,313.9,322.73589771454135,8.835897714541375
F,401.7,414.9460364947081,13.246036494708108
CH4,291.0,284.4073998064887,-6.592600193511316
NH3,234.8,240.81635032136546,6.016350321365451
OH,300.0,307.4106480960254,7.4106480960253975
OH2,291.0,297.99498387965286,6.994983879652864
FH,369.9,380.7239083072418,10.823908307241823
ClH,294.0,296.73570479883347,2.735704798833467
C2H2,262.9,268.27996346884174,5.3799634688417655
C2H4,242.4,247.9773324774651,5.577332477465092
CO,323.1,326.4565771074558,3.3565771074557915
N2,359.3,361.62011114550114,2.32011114550113
O2,278.3,288.38974338218395,10.08974338218394
He,567.0,559.9809109672301,-7.019089032769898
Ne,497.2,513.590756504389,16.390756504389003
Ar,363.4,369.6785646143835,6.2785646143835265
BF3,358.8,346.3486599213211,-12.451340078678925
BCl3,267.5,251.764358122251,-15.735641877749003
B2F4,278.3,265.52996250410797,-12.77003749589204
CO2,317.6,323.2664228417125,5.6664228417124605
CF2,263.3,260.5638113579189,-2.7361886420811175
CH2,239.7,245.26641496918455,5.566414969184564
C2H5,187.2,184.191675326525,-3.0083246734749878
C3H4,223.0,218.7887060855719,-4.211293914428097
CH2CCH2,223.5,232.09381909783406,8.593819097834057
CH3CHCH3,170.0,164.6220529655693,-5.37794703443069
C6H6,213.2,215.2994166688004,2.0994166688004157
CN,313.6,343.42829563572013,29.82829563572011
CHO,187.7,193.93505649051804,6.235056490518048
H2COH,174.2,174.92053131351713,0.7205313135171423
CH3O,247.3,233.44185772247147,-13.858142277528543
CH3OH,250.2,241.59177358512534,-8.60822641487465
CH3F,287.6,277.17570473138767,-10.424295268612354
CH2S,216.2,216.30427268479252,0.10427268479253371
CH2SH,173.8,174.28806437447201,0.48806437447200324
CH3SH,217.7,215.83489019051194,-1.8651098094880467
CH3Cl,258.7,261.0743914170307,2.374391417030722
C2H5OH,241.4,228.53956914479204,-12.860430855207966
CH3CHO,235.9,233.57599228183972,-2.3240077181602885
CH3OF,261.5,253.83065627497854,-7.669343725021463
C2H4S,208.7,209.0623830704135,0.36238307041350026
NCCN,308.3,324.20135831246444,15.901358312464424
C4H4O,203.6,208.14312022001832,4.543120220018324
C4H5N,189.3,193.54965960896516,4.249659608965146
B2H4,223.7,224.43970554661064,0.7397055466106508
NH,311.1,321.52093694234645,10.42093694234643
NH2,256.9,262.2648037178151,5.364803717815107
N2H2,221.1,217.4721316491923,-3.627868350807688
N2H3,175.5,178.49611831695074,2.996118316950742
HOF,293.1,289.1217587431165,-3.978241256883507
SiH2,211.0,210.1606401707686,-0.8393598292313982
SiH3,187.6,190.17138280402287,2.571382804022875
Si2H2,189.1,193.02480265806662,3.924802658066625
Si2H4,186.6,187.58440200955374,0.9844020095537473
Si2H5,175.3,177.8746847512084,2.5746847512083946
Si2H6,224.6,222.17923295957735,-2.4207670404226462
