sys,expt_value,calc_value,error
SiH3,213.1,209.69600981011172,-3.403990189888276
SiH4,304.4,296.7457179068588,-7.654282093141205
PH2,143.9,147.45134594442789,3.5513459444278794
PH3,225.0,225.52912099543028,0.5291209954302758
SH2,171.1,169.3080484396778,-1.7919515603221896
ClH,101.2,99.20856585749425,-1.991434142505753
Na2,19.8,17.168720783403842,-2.631279216596159
Si2,74.3,69.97079727466917,-4.3292027253308305
P2,116.0,118.02889697632054,2.0288969763205387
S2,98.4,103.58968074666336,5.189680746663356
Cl2,58.1,55.32489330798853,-2.7751066920114695
NaCl,99.4,91.43879928841488,-7.961200711585121
SiO,190.2,191.31028691632673,1.1102869163267428
SC,171.3,168.41348174668383,-2.886518253316183
SO,120.1,128.70482870057458,8.604828700574586
ClO,60.9,67.81820418254938,6.918204182549381
ClF,60.9,62.75118769402616,1.8511876940261587
Si2H6,502.9,486.7340421064873,-16.165957893512655
CH3Cl,370.6,364.89286514901323,-5.70713485098679
CH3SH,442.8,436.7365986301447,-6.063401369855285
HOCl,156.1,157.36676865711343,1.2667686571134311
SO2,246.6,250.65767897706246,4.057678977062466
LiH,56.5,55.89823086593242,-0.601769134067581
BeH,45.1,53.93301500017333,8.833015000173326
CH,80.0,77.26004440799079,-2.73995559200921
CH2,177.2,178.30747929567224,1.107479295672249
CH3,287.4,287.39552219166217,-0.004477808337810529
CH4,391.0,387.97863295203206,-3.021367047967942
NH,77.2,83.84253102693037,6.642531026930371
NH2,168.4,175.8273149427332,7.427314942733204
NH3,274.2,278.5500285499875,4.350028549987485
OH,100.5,99.02817084443814,-1.4718291555618634
OH2,217.3,217.55420639165823,0.2542063916582151
FH,134.5,134.0425206682994,-0.45747933170059696
SiH2,146.9,143.4926641357888,-3.4073358642112055
Li2,26.7,19.98447491040315,-6.715525089596849
LiF,141.3,138.94854199088877,-2.3514580091112407
C2H2,387.0,386.3227680213022,-0.6772319786978187
C2H4,530.1,527.1374998391038,-2.962500160896184
H3CCH3,663.5,656.2946309682811,-7.205369031718874
CN,176.3,185.97605567595747,9.676055675957457
HCN,303.1,307.98125339225953,4.881253392259509
CO,257.6,257.39459790769615,-0.20540209230387063
CHO,270.3,277.3830360661814,7.083036066181364
H2CO,358.1,359.5763878918515,1.4763878918514592
CH3OH,479.4,477.2301712371991,-2.1698287628008757
N2,224.8,234.49348071061831,9.693480710618303
H2NNH2,401.4,411.563777613439,10.163777613439038
NO,150.2,158.738725420204,8.538725420204003
O2,115.4,132.2779733374482,16.877973337448196
HOOH,250.3,257.8506555909844,7.550655590984377
F2,37.5,46.15886909459368,8.658869094593683
CO2,384.3,389.7538769412349,5.45387694123491
