sys,expt_value,calc_value,error
Na,118.5,123.59120480314596,5.091204803145956
Mg,176.3,175.79260996877565,-0.5073900312243609
Al,138.0,135.31167821821873,-2.6883217817812692
Si,187.9,183.13208743592259,-4.76791256407742
P,241.9,234.50822618836537,-7.391773811634636
S,238.9,239.03204012615606,0.1320401261560562
Cl,299.1,297.3831090332824,-1.7168909667176422
SiH4,253.7,259.04448699051864,5.3444869905186465
PH,234.1,231.15948181567364,-2.9405181843263506
PH2,226.5,224.2721534887969,-2.227846511203097
PH3,227.6,223.63653794306447,-3.9634620569355263
SH,239.1,235.7540146606625,-3.3459853393374885
SH2,241.4,235.62246875633718,-5.777531243662821
P2,242.8,234.35694102203706,-8.443058977962949
S2,215.8,214.94743579096394,-0.8525642090360748
Cl2,265.2,256.35257434868254,-8.847425651317451
ClF,291.9,287.75128409825265,-4.148715901747323
SC,261.3,298.6944925978896,37.39449259788961
Li,124.3,127.41082484994058,3.1108248499405846
Be,214.9,206.99495931021374,-7.9050406897862615
B,191.4,198.83843477360642,7.438434773606417
C,259.7,262.96563428806985,3.2656342880698617
N,335.3,334.54915500331845,-0.7508449966815647
O,313.9,326.05395965729986,12.153959657299879
F,401.7,408.85253133061633,7.152531330616341
CH4,291.0,282.117496196086,-8.882503803914005
NH3,234.8,233.14867390274594,-1.6513260972540706
OH,300.0,299.0549830031159,-0.9450169968840783
OH2,291.0,288.8699325323032,-2.13006746769679
FH,369.9,375.2175548325613,5.317554832561314
ClH,294.0,290.72751119709574,-3.272488802904263
C2H2,262.9,259.81971672733926,-3.080283272660722
C2H4,242.4,236.25943726261903,-6.140562737380975
CO,323.1,323.0018269881548,-0.0981730118452333
N2,359.3,354.927694664264,-4.37230533573603
O2,278.3,287.58516620982846,9.285166209828446
He,567.0,571.6910524123875,4.691052412387535
Ne,497.2,501.2990500955493,4.09905009554933
Ar,363.4,360.76573702302994,-2.634262976970035
BF3,358.8,337.70197942617233,-21.098020573827682
BCl3,267.5,245.06307963118888,-22.436920368811116
B2F4,278.3,259.1174517975305,-19.18254820246949
CO2,317.6,314.71678759757197,-2.8832124024280574
CF2,263.3,259.0192009451275,-4.280799054872489
CH2,239.7,236.69292795135334,-3.0070720486466485
CH3,227.0,226.73999549380824,-0.26000450619176263
C2H5,187.2,185.74083528598567,-1.459164714014321
C3H4,223.0,212.72479647170985,-10.275203528290149
CH2CCH2,223.5,223.04908030260412,-0.4509196973958751
CH3CHCH3,170.0,164.6645398439432,-5.335460156056797
C6H6,213.2,204.85304537168122,-8.34695462831877
CN,313.6,338.41363440060377,24.813634400603746
CHO,187.7,192.9873011203017,5.28730112030172
H2COH,174.2,173.64905072489637,-0.5509492751036191
CH3O,247.3,238.11043577214878,-9.189564227851236
CH3OH,250.2,241.93092451400298,-8.269075485997007
CH3F,287.6,331.09828620782355,43.498286207823526
CH2S,216.2,210.61177648982266,-5.588223510177329
CH2SH,173.8,171.48444827710046,-2.3155517228995564
CH3SH,217.7,210.30931008729385,-7.3906899127061365
CH3Cl,258.7,255.2626275648945,-3.4373724351054875
C2H5OH,241.4,229.49601698902552,-11.903983010974486
CH3CHO,235.9,227.89669004408643,-8.00330995591358
CH3OF,261.5,253.08368940194487,-8.416310598055134
C2H4S,208.7,201.41480284702266,-7.285197152977332
NCCN,308.3,295.97801785844786,-12.321982141552155
C4H4O,203.6,198.23830293366336,-5.361697066336632
C4H5N,189.3,183.22296710908995,-6.077032890910061
B2H4,223.7,216.08728933101884,-7.612710668981151
NH,311.1,316.60130261988525,5.501302619885223
NH2,256.9,259.84966166310187,2.9496616631018924
N2H2,221.1,215.86047779311775,-5.239522206882242
N2H3,175.5,177.29328864296258,1.7932886429625796
HOF,293.1,288.5790054775425,-4.520994522457499
SiH2,211.0,205.4721775400103,-5.527822459989693
SiH3,187.6,185.19108261095244,-2.4089173890475593
Si2H2,189.1,185.34800293308217,-3.7519970669178235
Si2H4,186.6,179.2381183092366,-7.361881690763397
Si2H5,175.3,172.28352786425967,-3.0164721357403437
Si2H6,224.6,213.43209782033227,-11.16790217966772
