SYSTEM,MULT,
Al,2,
Al-,3,
Al+,1,
AlCl,1,
AlF,1,
AlH,1,
AlH2,2,
AlH3,1,
Ar,1,
Ar+,2,
B,2,
B-,3,
B+,1,
B2F4,1,
B2F4+,2,?
B2H4,1,?
B2H4+,2,?
BCl3,1,
BCl3+,2,?
Be,1,
Be+,2,
BeCl,2,
BeF,2,
BeH,2,
BeH2,1,
BeO,1,
BeOH,2,
BeS,1,
BF3,1,
BF3+,2,
BH,1,
BH2,2,
BH3,1,
BO,2,
BS,2,
C,3,
C-,4,
C+,2,
C2,1,
C2-,2,
C2H,2,
C2H-,1,
C2H2,1,
C2H2+,2,
C2H3,2,
C2H3-,1,
C2H3+,1,
C2H4,1,
C2H4+,2,
C2H4S,1,
C2H4S+,2,?
C2H5,2,
C2H5+,1,
C2H5OH,1,
C2H5OH+,2,?
C2O,3,
C2O-,2,?
C3H4,1,
C3H4+,2,?
C4H4O,1,
C4H4O+,2,
C4H5N,1,
C4H5N+,2,?
C6H6,1,
C6H6+,2,
CF,2,
CF2,1,
CF2-,2,
CF2+,2,
CH,2,
CH-,3,
CH2,3,
CH2-,2,
CH2+,2,
CH2CCH2,1,
CH2CCH2+,2,?
CH2CHCH2,2,
CH2CHCH2-,1,?
CH2CHO,2,
CH2CHO-,1,
CH2CN,2,?
CH2CN-,1,?
CH2NC,2,?
CH2NC-,1,?
CH2S,1,
CH2S-,2,
CH2S+,2,
CH2SH,2,?
CH2SH+,1,?
CH3,2,
CH3-,1,
CH3+,1,
CH3CH2O,2,
CH3CH2O-,1,?
CH3CH2S,2,?
CH3CH2S-,1,?
CH3CHCH3,2,
CH3CHCH3+,1,
CH3CHO,1,
CH3CHO+,2,?
CH3Cl,1,
CH3Cl+,2,
CH3CO,2,
CH3CO-,1,
CH3F,1,
CH3F+,2,
CH3O,2,
CH3O-,1,
CH3O+,3,
CH3OF,1,?
CH3OF+,2,?
CH3OH,1,
CH3OH+,2,
CH3PH,2,?
CH3PH2,1,
CH3S,2,
CH3S-,1,?
CH3SH,1,
CH3SH+,2,
CH4,1,
CH4+,2,
CHCO,2,
CHCO-,1,?
CHO,2,
CHO-,1,
CHO+,1,
Cl,2,
Cl-,1,
Cl+,3,
Cl2,1,
Cl2-,2,
Cl2+,2,
ClB,1,
ClC,2,
ClF,1,
ClF+,2,
ClH,1,
ClH+,2,
ClH2+,1,
ClO,2,
ClP,3,
ClS,2,
CN,2,
CN-,1,
CN+,1,
CO,1,
CO+,2,
CO2,1,
CO2+,2,
COS,1,?
COS+,2,?
CP,2,
CS2,1,
CS2+,2,
F,2,
F-,1,
F+,3,
F2,1,
FH,1,
FH+,2,
FP,3,
FS,2,
H,2,
H+,None,
H2,1,
H2CCC,1,?
H2CCC-,2,?
H2CCCH,2,
H2CCCH-,1,
H2CNH,1,
H2CO,1,
H2COH,2,
H2COH+,1,
H2CPH,1,
H2NNH2,1,
H2PPH2,1,
H3+,1,
H3CCH3,1,
H3CNH2,1,
HBO,1,
HBS,1,
HCF,1,
HCF-,2,?
HCN,1,
HCP,1,
He,1,
He+,2,
HNO,1,
HNO-,2,
HO2,2,
HO2-,1,
HOCl,1,
HOF,1,
HOF+,2,?
HOOH,1,
HPO,1,
Li,2,
Li-,1,
Li+,1,
Li2,1,
LiCl,1,
LiF,1,
LiH,1,
LiH-,2,
LiN,3,
LiO,2,
LiOH,1,
Mg,1,
Mg+,2,
MgCl,2,
MgF,2,
MgH,2,
MgH2,1,
MgO,1,
MgOH,2,
MgS,1,
N,4,
N+,3,
N2,1,
N2+,2,
N2H2,1,
N2H2+,2,
N2H3,2,?
N2H3+,1,?
Na,2,
Na-,1,
Na+,1,
Na2,1,
NaCl,1,
NaF,1,
NaH,1,
NaO,2,
NaOH,1,
NCCN,1,
NCCN+,2,
NCO,2,
NCO-,1,
Ne,1,
Ne+,2,
NF,3,
NH,3,
NH-,2,
NH+,2,
NH2,2,
NH2-,1,
NH2+,3,
NH3,1,
NH3+,2,
NH4+,1,
NO,2,
NO-,3,
NO2,2,
NO2-,1,
O,3,
O-,2,
O+,4,
O2,3,
O2-,2,
O2+,2,
O2Cl,2,
O3,1,
O3-,2,
OF,2,
OF-,1,
OH,2,
OH-,1,
OH+,3,
OH2,1,
OH2+,2,
OH3+,1,
P,4,
P-,3,
P+,3,
P2,1,
P2+,2,
PH,3,
PH-,2,
PH+,2,
PH2,2,
PH2-,1,
PH2+,1,
PH3,1,
PH3+,2,
PH4+,1,
PN,1,
PO,2,
PO-,3,
PS,2,
S,3,
S-,2,
S+,4,
S2,3,
S2-,2,
S2+,2,
S2H2,1,
S2O,1,
S2O-,2,?
SC,1,
SC+,2,
SH,2,
SH-,1,
SH+,3,
SH2,1,
SH2+,2,
SH3+,1,
Si,3,
Si-,4,
Si+,2,
Si2,3,
Si2H2,1,?
Si2H2+,2,?
Si2H4,1,
Si2H4+,2,?
Si2H5,2,?
Si2H5+,1,?
Si2H6,1,
Si2H6+,2,?
SiC,3,
SiCl,2,
SiF,2,
SiH,2,
SiH-,3,
SiH2,1,
SiH2-,2,
SiH2+,2,
SiH3,2,
SiH3-,1,
SiH3+,1,
SiH3Cl,1,
SiH3F,1,
SiH4,1,
SiH4+,2,
SiH5+,1,
SiN,2,
SiO,1,
SiO2,1,
SiS,1,
SN,2,
SO,3,
SO2,1,
SO2-,2,
